team_id,team,team_abbrev,athlete_id,player,position,jersey,age,height_inches,weight_lbs,experience_years,status,headshot
24,San Antonio Spurs,SA,6578,Harrison Barnes,Forward,40,34,79.0,225.0,13,Active,https://a.espncdn.com/i/headshots/nba/players/full/6578.png
24,San Antonio Spurs,SA,6427,Bismack Biyombo,Center,18,33,80.0,255.0,14,Active,https://a.espncdn.com/i/headshots/nba/players/full/6427.png
24,San Antonio Spurs,SA,5061568,Carter Bryant,Forward,11,20,78.0,220.0,0,Active,https://a.espncdn.com/i/headshots/nba/players/full/5061568.png
24,San Antonio Spurs,SA,4845367,Stephon Castle,Guard,5,21,78.0,215.0,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4845367.png
24,San Antonio Spurs,SA,4592479,Julian Champagnie,Forward,30,24,79.0,217.0,3,Active,https://a.espncdn.com/i/headshots/nba/players/full/4592479.png
24,San Antonio Spurs,SA,4066259,De'Aaron Fox,Guard,4,28,75.0,185.0,8,Active,https://a.espncdn.com/i/headshots/nba/players/full/4066259.png
24,San Antonio Spurs,SA,5037871,Dylan Harper,Guard,2,20,77.0,215.0,0,Active,https://a.espncdn.com/i/headshots/nba/players/full/5037871.png
24,San Antonio Spurs,SA,4433618,Harrison Ingram,Forward,55,23,77.0,230.0,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4433618.png
24,San Antonio Spurs,SA,4395723,Keldon Johnson,Forward,3,26,77.0,220.0,6,Active,https://a.espncdn.com/i/headshots/nba/players/full/4395723.png
24,San Antonio Spurs,SA,4713010,David Jones Garcia,Forward,25,24,76.0,210.0,0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4713010.png
24,San Antonio Spurs,SA,3064560,Luke Kornet,Center,7,30,85.0,250.0,8,Active,https://a.espncdn.com/i/headshots/nba/players/full/3064560.png
24,San Antonio Spurs,SA,3134916,Jordan McLaughlin,Guard,0,30,72.0,185.0,6,Active,https://a.espncdn.com/i/headshots/nba/players/full/3134916.png
24,San Antonio Spurs,SA,4432872,Emanuel Miller,Forward,14,25,77.0,215.0,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4432872.png
24,San Antonio Spurs,SA,2489663,Kelly Olynyk,Forward,8,35,84.0,240.0,12,Active,https://a.espncdn.com/i/headshots/nba/players/full/2489663.png
24,San Antonio Spurs,SA,2488653,Mason Plumlee,Center,45,36,84.0,254.0,12,Active,https://a.espncdn.com/i/headshots/nba/players/full/2488653.png
24,San Antonio Spurs,SA,4395630,Devin Vassell,Guard,24,25,77.0,200.0,5,Active,https://a.espncdn.com/i/headshots/nba/players/full/4395630.png
24,San Antonio Spurs,SA,4066317,Lindy Waters III,Forward,43,28,77.0,210.0,4,Active,https://a.espncdn.com/i/headshots/nba/players/full/4066317.png
24,San Antonio Spurs,SA,5104157,Victor Wembanyama,Forward,1,22,88.0,235.0,2,Active,https://a.espncdn.com/i/headshots/nba/players/full/5104157.png
18,New York Knicks,NY,4277869,Jose Alvarado,Guard,5,28,72.0,179.0,4,Active,https://a.espncdn.com/i/headshots/nba/players/full/4277869.png
18,New York Knicks,NY,3934719,OG Anunoby,Forward,8,28,79.0,240.0,8,Active,https://a.espncdn.com/i/headshots/nba/players/full/3934719.png
18,New York Knicks,NY,3147657,Mikal Bridges,Guard,25,29,78.0,209.0,7,Active,https://a.espncdn.com/i/headshots/nba/players/full/3147657.png
