team_id,category,stat_name,display_name,abbrev,value,display_value,per_game_value,rank,rank_display_value
24,general,avgRebounds,Rebounds Per Game,REB,47.27778,47.3,,,
24,general,assistTurnoverRatio,Assist To Turnover Ratio,AST/TO,1.7587548,1.8,1.7857142686843872,,
24,general,avgFouls,Fouls Per Game,PF,22.222221,22.2,,,
24,general,gamesPlayed,Games Played,GP,18.0,18,,,
24,general,gamesStarted,Games Started,GS,0.0,0,,,
24,general,minutes,Minutes,MIN,0.0,0,,,
24,general,avgMinutes,Minutes Per Game,MIN,0.0,0.0,,,
24,general,totalRebounds,Rebounds,REB,851.0,851,47.0,,
24,general,rebounds,Rebounds,REB,851.0,851,47.0,,
24,offensive,freeThrowPct,Free Throw Percentage,FT%,80.12699890136719,80.1,0.8009999990463257,,
24,offensive,threePointPct,3-Point Field Goal Percentage,3P%,36.47800064086914,36.5,0.36500000953674316,,
24,offensive,avgFieldGoalsMade,Average Field Goals Made,FGM,40.666668,40.7,,,
24,offensive,avgFieldGoalsAttempted,Average Field Goals Attempted,FGA,86.77778,86.8,,,
24,offensive,avgThreePointFieldGoalsMade,Average 3-Point Field Goals Made,3PM,12.888889,12.9,,,
24,offensive,avgThreePointFieldGoalsAttempted,Average 3-Point Field Goals Attempted,3PA,35.333332,35.3,,,
24,offensive,avgFreeThrowsMade,Average Free Throws Made,FTM,21.055555,21.1,,,
24,offensive,avgFreeThrowsAttempted,Average Free Throws Attempted,FTA,26.277779,26.3,,,
24,offensive,avgPoints,Points Per Game,PTS,115.27778,115.3,,,
24,offensive,avgOffensiveRebounds,Offensive Rebounds Per Game,OR,12.111111,12.1,,,
24,offensive,avgAssists,Assists Per Game,AST,25.11111,25.1,,,
24,offensive,avgTurnovers,Turnovers Per Game,TO,14.277778,14.3,,,
24,offensive,twoPointFieldGoalPct,2-Point Field Goal Percentage,2P%,53.995680809020996,54.0,0.5490196347236633,,
24,offensive,scoringEfficiency,Scoring Efficiency,SC-EFF,1.328425,1.328,1.3372093439102173,,
24,offensive,shootingEfficiency,Shooting Efficiency,SH-EFF,0.5428937,0.54,0.5465116500854492,,
24,offensive,fieldGoalPct,Field Goal Percentage,FG%,46.862998962402344,46.9,0.4690000116825104,,
24,offensive,twoPointFieldGoalsMade,2-Point Field Goals Made,2PM,500.0,500.0,28.0,,
24,offensive,twoPointFieldGoalsAttempted,2-Point Field Goals Attempted,2PA,926.0,926.0,51.0,,
24,offensive,points,Points,PTS,2075.0,2075,115.0,,
24,offensive,offensiveRebounds,Offensive Rebounds,OR,218.0,218,12.0,,
24,offensive,assists,Assists,AST,452.0,452,25.0,,
24,offensive,turnovers,Turnovers,TO,257.0,257,14.0,,
24,offensive,fieldGoalsMade,Field Goals Made,FGM,732.0,732,40.0,,
24,offensive,fieldGoalsAttempted,Field Goals Attempted,FGA,1562.0,1562,86.0,,
24,offensive,freeThrowsMade,Free Throws Made,FTM,379.0,379,21.0,,
24,offensive,freeThrowsAttempted,Free Throws Attempted,FTA,473.0,473,26.0,,
24,offensive,threePointFieldGoalsMade,3-Point Field Goals Made,3PM,232.0,232,12.0,,
24,offensive,threePointFieldGoalsAttempted,3-Point Field Goals Attempted,3PA,636.0,636,35.0,,
24,offensive,threePointFieldGoalPct,3-Point Field Goal Percentage,3P%,36.477985978126526,36.5,0.34285715222358704,,
