game_date,home_team,away_team,home_odds,away_odds,home_score,away_score,home_win,season,source_query,source,market_home_raw_prob,market_away_raw_prob,market_home_no_vig_prob,home_decimal_odds,away_decimal_odds,home_games_played,home_win_pct,home_last5_win_pct,home_gf_per_game,home_ga_per_game,home_goal_diff_per_game,home_last5_gf_per_game,home_last5_ga_per_game,home_rest_days,away_games_played,away_win_pct,away_last5_win_pct,away_gf_per_game,away_ga_per_game,away_goal_diff_per_game,away_last5_gf_per_game,away_last5_ga_per_game,away_rest_days,home_is_favorite,home_form_edge,home_goal_diff_edge,home_rest_edge,home_market_edge_feature
2022-10-13,MIN,NYR,-130,109,3,7,0,20222023,New York Rangers highest moneyline 2022-23,statmuse,0.5652173913043478,0.4784688995215311,0.5415587004185769,1.7692307692307692,2.09,7.0,0.8571428571428571,0.8,3.857142857142857,1.7142857142857142,2.142857142857143,3.8,1.6,5.0,7.0,0.42857142857142855,0.4,2.5714285714285716,2.7142857142857144,-0.14285714285714285,2.4,3.0,2.0,1,0.4,2.2857142857142856,3.0,0.0415587004185769
2022-10-13,NSH,DAL,-134,113,1,4,0,20222023,Dallas Stars highest moneyline 2022-23,statmuse,0.5726495726495726,0.4694835680751174,0.5494975164606677,1.7462686567164178,2.13,7.0,0.8571428571428571,1.0,3.857142857142857,1.5714285714285714,2.2857142857142856,4.0,1.4,5.0,7.0,0.2857142857142857,0.2,2.0,3.4285714285714284,-1.4285714285714286,2.0,3.4,5.0,1,0.8,3.7142857142857144,0.0,0.04949751646066769
2022-10-13,NYI,FLA,121,-144,1,3,0,20222023,New York Islanders highest moneyline 2022-23,statmuse,0.45248868778280543,0.5901639344262295,0.4339783722253842,2.21,1.6944444444444444,6.0,0.6666666666666666,0.8,2.6666666666666665,2.5,0.16666666666666666,3.0,2.2,5.0,6.0,0.3333333333333333,0.2,2.3333333333333335,3.8333333333333335,-1.5,2.0,4.0,5.0,0,0.6000000000000001,1.6666666666666667,0.0,-0.06602162777461579
2022-10-13,PHI,NJD,105,-126,5,2,1,20222023,Philadelphia Flyers lowest moneyline 2022-23,statmuse,0.4878048780487805,0.5575221238938053,0.466652901094363,2.05,1.7936507936507935,6.0,0.16666666666666666,0.0,1.3333333333333333,2.6666666666666665,-1.3333333333333333,1.2,3.0,9.0,7.0,0.7142857142857143,0.6,2.857142857142857,2.0,0.8571428571428571,2.8,2.4,5.0,0,-0.6,-2.1904761904761902,4.0,-0.033347098905636974
2022-10-13,PIT,ARI,-397,312,6,2,1,20222023,Arizona Coyotes highest moneyline 2022-23,statmuse,0.7987927565392354,0.24271844660194175,0.7669555105409259,1.251889168765743,4.12,6.0,0.5,0.4,2.8333333333333335,3.1666666666666665,-0.3333333333333333,2.8,3.4,6.0,7.0,0.0,0.0,2.0,4.0,-2.0,1.6,4.0,5.0,1,0.4,1.6666666666666667,1.0,0.2669555105409259
2022-10-13,TOR,WSH,-218,179,3,2,1,20222023,Washington Capitals highest moneyline 2022-23,statmuse,0.6855345911949685,0.35842293906810035,0.6566690419122887,1.4587155963302751,2.79,8.0,0.625,0.6,3.75,2.25,1.5,4.2,2.6,1.0,7.0,0.5714285714285714,0.6,2.7142857142857144,2.4285714285714284,0.2857142857142857,2.6,2.4,1.0,1,0.0,1.2142857142857144,0.0,0.1566690419122887
2022-10-13,VGK,CHI,-362,285,1,0,1,20222023,Chicago Blackhawks highest moneyline 2022-23,statmuse,0.7835497835497836,0.2597402597402597,0.7510373443983401,1.276243093922652,3.85,8.0,0.625,0.8,3.875,3.0,0.875,4.4,3.6,2.0,7.0,0.14285714285714285,0.0,1.1428571428571428,3.857142857142857,-2.7142857142857144,0.6,4.2,1.0,1,0.8,3.5892857142857144,1.0,0.25103734439834013
2022-10-14,CBJ,TBL,171,-205,2,5,0,20222023,Tampa Bay Lightning lowest moneyline 2022-23,statmuse,0.36900369003690037,0.6721311475409836,0.35442449596188486,2.71,1.4878048780487805,9.0,0.4444444444444444,0.4,3.0,2.888888888888889,0.1111111111111111,2.8,3.4,2.0,6.0,0.16666666666666666,0.2,1.6666666666666667,3.6666666666666665,-2.0,1.8,3.4,3.0,0,0.2,2.111111111111111,-1.0,-0.14557550403811514
2022-10-14,DET,MTL,-167,140,3,0,1,20222023,Detroit Red Wings lowest moneyline 2022-23,statmuse,0.6254681647940075,0.4166666666666667,0.6001796945193171,1.5988023952095807,2.4,8.0,0.375,0.4,2.5,2.75,-0.25,2.4,2.8,6.0,9.0,0.1111111111111111,0.2,2.4444444444444446,3.7777777777777777,-1.3333333333333333,2.8,4.0,2.0,1,0.2,1.0833333333333333,4.0,0.10017969451931708
2022-10-14,WPG,NYR,-143,120,4,1,1,20222023,New York Rangers highest moneyline 2022-23,statmuse,0.588477366255144,0.45454545454545453,0.5642037302725968,1.6993006993006992,2.2,6.0,0.6666666666666666,0.8,3.5,2.6666666666666665,0.8333333333333334,4.2,2.4,7.0,8.0,0.5,0.6,3.125,2.75,0.375,3.4,2.6,1.0,1,0.20000000000000007,0.45833333333333337,6.0,0.06420373027259685
2022-10-15,BOS,ARI,-343,269,6,3,1,20222023,Arizona Coyotes highest moneyline 2022-23,statmuse,0.7742663656884876,0.27100271002710025,0.7407340211977738,1.2915451895043732,3.69,7.0,0.5714285714285714,0.6,3.0,2.2857142857142856,0.7142857142857143,3.4,2.4,3.0,8.0,0.0,0.0,2.0,4.25,-2.25,1.4,4.4,2.0,1,0.6,2.9642857142857144,1.0,0.24073402119777376
2022-10-15,BUF,FLA,160,-193,3,4,0,20222023,Buffalo Sabres highest moneyline 2022-23,statmuse,0.38461538461538464,0.658703071672355,0.36864620030196277,2.6,1.5181347150259068,7.0,0.7142857142857143,0.6,2.7142857142857144,2.7142857142857144,0.0,2.6,3.0,2.0,7.0,0.42857142857142855,0.4,2.4285714285714284,3.4285714285714284,-1.0,2.6,3.4,2.0,0,0.19999999999999996,1.0,0.0,-0.13135379969803723
2022-10-15,EDM,CGY,-136,115,3,4,0,20222023,Calgary Flames highest moneyline 2022-23,statmuse,0.576271186440678,0.46511627906976744,0.5533686601059804,1.7352941176470589,2.15,9.0,0.6666666666666666,0.8,3.3333333333333335,2.5555555555555554,0.7777777777777778,4.8,3.0,3.0,9.0,0.5555555555555556,0.4,2.6666666666666665,2.3333333333333335,0.3333333333333333,2.6,3.2,2.0,1,0.4,0.4444444444444445,1.0,0.0533686601059804
2022-10-15,MIN,LAK,-171,143,6,7,0,20222023,Los Angeles Kings highest moneyline 2022-23,statmuse,0.6309963099630996,0.411522633744856,0.605261241315019,1.5847953216374269,2.4299999999999997,8.0,0.75,0.6,3.75,2.375,1.375,3.4,2.6,2.0,9.0,0.3333333333333333,0.2,2.7777777777777777,3.3333333333333335,-0.5555555555555556,3.6,4.4,2.0,1,0.39999999999999997,1.9305555555555556,0.0,0.10526124131501902
2022-10-15,PHI,VAN,137,-163,3,2,1,20222023,Vancouver Canucks lowest moneyline 2022-23,statmuse,0.4219409282700422,0.6197718631178707,0.40504535583927553,2.37,1.6134969325153374,7.0,0.2857142857142857,0.2,1.8571428571428572,2.5714285714285716,-0.7142857142857143,2.0,3.0,2.0,8.0,0.25,0.4,2.375,3.875,-1.5,2.8,4.0,3.0,0,-0.2,0.7857142857142857,-1.0,-0.09495464416072447
2022-10-15,PIT,TBL,-171,143,6,2,1,20222023,Tampa Bay Lightning highest moneyline 2022-23,statmuse,0.6309963099630996,0.411522633744856,0.605261241315019,1.5847953216374269,2.4299999999999997,7.0,0.5714285714285714,0.6,3.2857142857142856,3.0,0.2857142857142857,3.8,2.8,2.0,7.0,0.2857142857142857,0.4,2.142857142857143,3.4285714285714284,-1.2857142857142858,2.8,3.4,1.0,1,0.19999999999999996,1.5714285714285716,1.0,0.10526124131501902
2022-10-15,SJS,CHI,-142,119,2,5,0,20222023,Chicago Blackhawks lowest moneyline 2022-23,statmuse,0.5867768595041323,0.45662100456621,0.5623711526637492,1.704225352112676,2.19,9.0,0.5555555555555556,0.4,2.888888888888889,2.6666666666666665,0.2222222222222222,2.8,2.6,1.0,8.0,0.125,0.0,1.0,3.5,-2.5,0.6,3.8,2.0,1,0.4,2.7222222222222223,-1.0,0.06237115266374915
2022-10-15,STL,CBJ,-258,210,5,2,1,20222023,St. Louis Blues lowest moneyline 2022-23,statmuse,0.7206703910614525,0.3225806451612903,0.690792883054068,1.3875968992248062,3.1,8.0,0.75,0.6,3.625,2.625,1.0,3.2,3.2,7.0,10.0,0.4,0.2,2.9,3.1,-0.2,2.8,4.2,1.0,1,0.39999999999999997,1.2,6.0,0.19079288305406805
2022-10-15,TOR,OTT,-235,193,3,2,1,20222023,Ottawa Senators highest moneyline 2022-23,statmuse,0.7014925373134329,0.3412969283276451,0.6727077328904304,1.425531914893617,2.9299999999999997,9.0,0.6666666666666666,0.6,3.6666666666666665,2.2222222222222223,1.4444444444444444,3.6,2.4,2.0,9.0,0.5555555555555556,0.8,3.2222222222222223,3.7777777777777777,-0.5555555555555556,3.6,3.4,2.0,1,-0.20000000000000007,2.0,0.0,0.1727077328904304
2022-10-15,WSH,MTL,-300,240,3,1,1,20222023,Montreal Canadiens highest moneyline 2022-23,statmuse,0.75,0.29411764705882354,0.7183098591549295,1.3333333333333333,3.4,8.0,0.5,0.4,2.625,2.5,0.125,2.6,3.0,2.0,10.0,0.1,0.2,2.2,3.7,-1.5,2.6,3.6,1.0,1,0.2,1.625,1.0,0.2183098591549295
2022-10-17,BOS,FLA,115,-137,5,3,1,20222023,Boston Bruins highest moneyline 2022-23,statmuse,0.46511627906976744,0.5780590717299579,0.4458658639826921,2.15,1.72992700729927,8.0,0.625,0.6,3.375,2.375,1.0,3.8,3.0,2.0,8.0,0.5,0.6,2.625,3.375,-0.75,3.0,3.0,2.0,0,0.0,1.75,0.0,-0.05413413601730788
2022-10-17,DAL,WPG,-144,122,4,1,1,20222023,Winnipeg Jets highest moneyline 2022-23,statmuse,0.5901639344262295,0.45045045045045046,0.5671302866874822,1.6944444444444444,2.2199999999999998,9.0,0.4444444444444444,0.4,2.5555555555555554,2.888888888888889,-0.3333333333333333,2.4,2.4,2.0,7.0,0.7142857142857143,0.8,3.5714285714285716,2.4285714285714284,1.1428571428571428,4.0,2.0,3.0,1,-0.4,-1.476190476190476,-1.0,0.06713028668748222
2022-10-17,MIN,COL,103,-124,3,6,0,20222023,Minnesota Wild highest moneyline 2022-23,statmuse,0.49261083743842365,0.5535714285714286,0.47086521483225424,2.0300000000000002,1.8064516129032258,9.0,0.6666666666666666,0.4,4.0,2.888888888888889,1.1111111111111112,4.0,4.0,2.0,8.0,0.5,0.6,2.625,3.125,-0.5,2.8,3.2,4.0,0,-0.19999999999999996,1.6111111111111112,-2.0,-0.029134785167745758
2022-10-17,MTL,PIT,208,-255,3,2,1,20222023,Pittsburgh Penguins lowest moneyline 2022-23,statmuse,0.3246753246753247,0.7183098591549296,0.3112942827078218,3.08,1.392156862745098,11.0,0.09090909090909091,0.2,2.090909090909091,3.6363636363636362,-1.5454545454545454,2.0,3.2,2.0,8.0,0.625,0.8,3.625,2.875,0.75,4.6,2.0,2.0,0,-0.6000000000000001,-2.2954545454545454,0.0,-0.18870571729217822
2022-10-17,NYR,ANA,-249,202,6,4,1,20222023,New York Rangers lowest moneyline 2022-23,statmuse,0.7134670487106017,0.33112582781456956,0.6830096822830569,1.4016064257028114,3.02,9.0,0.4444444444444444,0.4,2.888888888888889,2.888888888888889,0.0,3.2,3.2,3.0,9.0,0.5555555555555556,0.4,3.2222222222222223,3.5555555555555554,-0.3333333333333333,3.0,4.6,2.0,1,0.0,0.3333333333333333,1.0,0.18300968228305692
2022-10-17,SEA,CAR,146,-175,1,5,0,20222023,Seattle Kraken highest moneyline 2022-23,statmuse,0.4065040650406504,0.6363636363636364,0.3897944720056697,2.46,1.5714285714285714,9.0,0.5555555555555556,0.2,3.111111111111111,2.5555555555555554,0.5555555555555556,2.8,4.0,2.0,7.0,0.8571428571428571,0.8,4.285714285714286,1.8571428571428572,2.4285714285714284,4.0,2.0,3.0,0,-0.6000000000000001,-1.8730158730158728,-1.0,-0.11020552799433031
2022-10-17,TOR,ARI,-533,391,2,4,0,20222023,Arizona Coyotes highest moneyline 2022-23,statmuse,0.8420221169036335,0.20366598778004075,0.805232567083996,1.1876172607879925,4.91,10.0,0.7,0.6,3.6,2.2,1.4,3.2,2.6,2.0,9.0,0.0,0.0,2.111111111111111,4.444444444444445,-2.3333333333333335,1.8,5.0,2.0,1,0.6,3.7333333333333334,0.0,0.30523256708399604
2022-10-18,CBJ,VAN,-104,-116,4,3,1,20222023,Columbus Blue Jackets lowest moneyline 2022-23,statmuse,0.5098039215686274,0.5370370370370371,0.48699271592091564,1.9615384615384617,1.8620689655172413,11.0,0.36363636363636365,0.2,2.8181818181818183,3.272727272727273,-0.45454545454545453,3.0,3.6,3.0,10.0,0.2,0.4,2.5,4.0,-1.5,3.6,3.6,1.0,0,-0.2,1.0454545454545454,2.0,-0.013007284079084358
2022-10-18,CGY,VGK,-159,134,3,2,1,20222023,Vegas Golden Knights highest moneyline 2022-23,statmuse,0.6138996138996139,0.42735042735042733,0.5895794377713689,1.6289308176100628,2.34,10.0,0.6,0.6,2.8,2.4,0.4,3.2,3.4,3.0,10.0,0.7,1.0,3.7,2.6,1.1,4.2,2.0,3.0,1,-0.4,-0.7000000000000001,0.0,0.0895794377713689
2022-10-18,EDM,BUF,-232,190,2,4,0,20222023,Buffalo Sabres highest moneyline 2022-23,statmuse,0.6987951807228916,0.3448275862068966,0.6695859872611465,1.4310344827586206,2.9,10.0,0.6,0.6,3.3,2.7,0.6,4.8,3.4,3.0,8.0,0.625,0.6,2.75,2.875,-0.125,3.0,3.0,3.0,1,0.0,0.725,0.0,0.1695859872611465
2022-10-18,NJD,ANA,-196,161,4,2,1,20222023,New Jersey Devils lowest moneyline 2022-23,statmuse,0.6621621621621622,0.3831417624521073,0.6334637673980881,1.510204081632653,2.6100000000000003,9.0,0.5555555555555556,0.4,2.6666666666666665,2.6666666666666665,0.0,2.4,3.6,3.0,10.0,0.5,0.4,3.3,3.8,-0.5,3.6,5.4,1.0,1,0.0,0.5,2.0,0.13346376739808807
2022-10-18,NSH,LAK,-178,149,3,4,0,20222023,Los Angeles Kings highest moneyline 2022-23,statmuse,0.6402877697841727,0.40160642570281124,0.6145420260114804,1.5617977528089888,2.49,9.0,0.6666666666666666,0.6,3.2222222222222223,2.2222222222222223,1.0,2.6,3.0,3.0,11.0,0.45454545454545453,0.6,3.3636363636363638,3.6363636363636362,-0.2727272727272727,4.4,4.2,1.0,1,0.0,1.2727272727272727,2.0,0.11454202601148045
2022-10-18,NYI,SJS,-203,168,5,2,1,20222023,New York Islanders lowest moneyline 2022-23,statmuse,0.66996699669967,0.373134328358209,0.6422837174159426,1.4926108374384237,2.6799999999999997,8.0,0.625,0.8,3.0,2.375,0.625,4.0,2.0,3.0,10.0,0.5,0.2,2.8,2.9,-0.1,1.8,3.0,3.0,1,0.6000000000000001,0.725,0.0,0.1422837174159426
2022-10-18,OTT,BOS,-135,114,7,5,1,20222023,Boston Bruins highest moneyline 2022-23,statmuse,0.574468085106383,0.4672897196261682,0.551441114716549,1.7407407407407407,2.1399999999999997,10.0,0.5,0.6,3.1,3.7,-0.6,3.0,3.2,3.0,9.0,0.6666666666666666,0.8,3.5555555555555554,2.4444444444444446,1.1111111111111112,4.8,3.4,1.0,1,-0.20000000000000007,-1.7111111111111112,2.0,0.051441114716549
2022-10-18,TBL,PHI,-308,243,2,3,0,20222023,Philadelphia Flyers highest moneyline 2022-23,statmuse,0.7549019607843137,0.2915451895043732,0.7213952090901641,1.3246753246753247,3.43,8.0,0.25,0.4,2.125,3.75,-1.625,3.0,3.2,3.0,8.0,0.375,0.4,2.0,2.5,-0.5,2.4,2.8,3.0,1,0.0,-1.125,0.0,0.22139520909016408
2022-10-19,COL,WPG,-235,191,3,4,0,20222023,Colorado Avalanche lowest moneyline 2022-23,statmuse,0.7014925373134329,0.3436426116838488,0.6711979192226529,1.425531914893617,2.91,9.0,0.5555555555555556,0.8,3.0,3.111111111111111,-0.1111111111111111,3.8,2.4,2.0,8.0,0.625,0.6,3.25,2.625,0.625,3.4,2.2,2.0,1,0.20000000000000007,-0.7361111111111112,0.0,0.17119791922265293
2022-10-19,FLA,PHI,-358,283,4,3,1,20222023,Florida Panthers lowest moneyline 2022-23,statmuse,0.7816593886462883,0.26109660574412535,0.7496091059186284,1.2793296089385475,3.83,9.0,0.4444444444444444,0.6,2.6666666666666665,3.5555555555555554,-0.8888888888888888,3.0,3.2,2.0,9.0,0.4444444444444444,0.6,2.111111111111111,2.4444444444444446,-0.3333333333333333,3.0,2.4,1.0,1,0.0,-0.5555555555555556,1.0,0.2496091059186284
