entity,season_type,playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
goalies,regular,8483548,2025,Brandon Bussi,CAR,G,5on4,39,10408.0,2.0,1.0,36.0,1.15,1.0,3.28,1.0,23.81,26.0,5.84,1.0,7.63,5.0,17.18,24.0,1.92,24.0,6.0,2.0,0.73,0.74,0.53,1.0,0.0,0.0,4.0,0.0,0.0
goalies,regular,8479394,2025,Carter Hart,VGK,G,other,18,1201.0,4.47,2.0,64.0,2.48,3.0,7.7,9.0,36.08,31.0,0.96,0.0,16.95,15.0,13.2,17.0,3.96,26.0,15.0,5.0,1.17,1.78,1.52,1.0,0.0,1.0,18.0,0.0,0.0
goalies,regular,8479394,2025,Carter Hart,VGK,G,all,18,61187.0,41.8,46.0,897.0,31.93,56.0,115.82,88.0,471.88,422.0,18.27,1.0,253.03,233.0,186.06,221.0,39.75,474.0,128.0,43.0,14.35,14.94,12.51,25.0,15.0,6.0,252.0,2.0,1.0
goalies,regular,8479394,2025,Carter Hart,VGK,G,5on5,18,50903.0,29.78,39.0,720.0,24.55,46.0,95.89,68.0,373.94,336.0,14.2,0.0,203.71,189.0,148.87,173.0,28.72,401.0,87.0,28.0,11.87,10.21,7.7,21.0,14.0,4.0,204.0,0.0,0.0
goalies,regular,8479394,2025,Carter Hart,VGK,G,4on5,18,3888.0,6.01,5.0,93.0,4.1,6.0,10.1,9.0,47.5,42.0,0.31,0.0,27.54,23.0,14.75,21.0,5.57,37.0,20.0,7.0,1.11,2.33,2.57,3.0,1.0,1.0,29.0,0.0,0.0
goalies,regular,8479394,2025,Carter Hart,VGK,G,5on4,18,5195.0,1.44,0.0,19.0,0.75,1.0,2.01,2.0,13.62,13.0,2.77,1.0,4.47,6.0,8.89,9.0,1.41,10.0,5.0,3.0,0.2,0.53,0.71,0.0,0.0,0.0,1.0,2.0,1.0
goalies,regular,8478499,2025,Adin Hill,VGK,G,other,27,2151.0,5.87,3.0,46.0,1.58,1.0,5.15,7.0,26.78,26.0,0.88,0.0,12.29,14.0,10.24,11.0,4.6,17.0,11.0,8.0,0.71,1.09,4.07,2.0,1.0,0.0,10.0,0.0,0.0
goalies,regular,8478499,2025,Adin Hill,VGK,G,all,27,89869.0,61.83,76.0,1307.0,46.59,55.0,162.74,137.0,682.49,587.0,25.12,0.0,365.57,322.0,271.17,338.0,58.33,696.0,176.0,59.0,20.27,21.11,20.46,27.0,32.0,17.0,376.0,2.0,1.0
goalies,regular,8478499,2025,Adin Hill,VGK,G,5on5,27,75880.0,41.19,56.0,1056.0,35.25,38.0,133.93,112.0,538.52,456.0,20.45,0.0,291.31,259.0,215.28,269.0,40.31,568.0,134.0,33.0,16.24,16.31,8.63,23.0,26.0,7.0,321.0,0.0,0.0
goalies,regular,8478499,2025,Adin Hill,VGK,G,4on5,27,5863.0,11.85,14.0,163.0,8.1,14.0,19.2,13.0,88.02,73.0,0.4,0.0,50.98,44.0,27.59,34.0,10.54,84.0,21.0,16.0,2.34,2.36,7.16,2.0,3.0,9.0,42.0,0.0,0.0
