entity,season_type,team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
teams,playoffs,CAR,2025,CAR,CAR,Team Level,other,15,0.7,0.48,0.53,3038.0,31.45,10.56,1.76,5.72,1.02,14.42,10.53,9.6,10.56,9.6,23.0,21.0,12.0,56.0,5.0,3.0,0.0,7.0,1.0,12.0,16.0,18.0,39.0,1.0,2.0,32.0,8.0,2.0,10.0,18.0,10.0,16.0,0.66,1.41,8.49,0.0,0.0,5.0,56.0,44.0,44.0,8.0,0.5,0.77,0.77,10.29,10.29,9.52,27.99,4.57,2.09,6.23,1.19,15.67,9.24,4.31,4.57,4.31,29.0,10.0,21.0,60.0,5.0,5.0,1.0,6.0,0.0,13.0,10.0,24.0,34.0,1.0,2.0,37.0,20.0,4.0,10.0,22.0,11.0,6.0,0.59,1.5,2.48,0.0,3.0,2.0,60.0,39.0,39.0,3.0,0.61,1.15,1.15,4.03,4.03,3.92
teams,playoffs,CAR,2025,CAR,CAR,Team Level,all,15,0.62,0.6,0.61,58789.0,595.29,61.24,38.93,147.76,20.07,308.4,226.6,57.29,61.82,57.84,491.0,312.0,320.0,1123.0,50.0,67.0,5.0,99.0,4.0,305.0,278.0,441.0,753.0,73.0,149.0,445.0,542.0,90.0,260.0,579.0,157.0,67.0,17.37,19.48,24.38,18.0,22.0,10.0,1137.69,803.0,812.54,104.0,8.63,12.94,12.94,56.93,57.33,55.26,387.71,36.98,25.96,94.73,13.05,198.83,145.44,35.55,37.33,35.89,339.0,176.0,224.0,739.0,29.0,38.0,2.0,48.0,1.0,194.0,205.0,310.0,486.0,75.0,151.0,480.0,511.0,63.0,255.0,366.0,108.0,41.0,10.66,13.88,12.44,5.0,14.0,10.0,735.88,515.0,515.15,121.0,5.83,8.28,8.28,34.52,34.95,34.41
teams,playoffs,CAR,2025,CAR,CAR,Team Level,5on5,15,0.59,0.6,0.61,44479.0,458.54,39.49,28.93,119.94,15.54,238.76,175.34,37.46,40.07,38.01,381.0,237.0,247.0,865.0,36.0,55.0,4.0,77.0,3.0,240.0,207.0,345.0,582.0,60.0,123.0,320.0,499.0,72.0,207.0,464.0,114.0,40.0,13.91,14.0,11.57,16.0,17.0,3.0,879.69,618.0,627.54,79.0,6.04,10.47,10.47,35.06,35.46,34.74,303.34,26.98,19.31,76.92,10.07,153.71,115.0,25.92,27.33,26.26,261.0,141.0,177.0,579.0,20.0,30.0,1.0,33.0,0.0,153.0,166.0,241.0,382.0,62.0,125.0,348.0,459.0,45.0,217.0,290.0,84.0,28.0,8.59,10.82,7.57,5.0,10.0,5.0,575.88,402.0,402.15,111.0,4.05,6.46,6.46,24.57,24.99,24.63
teams,playoffs,CAR,2025,CAR,CAR,Team Level,4on5,15,0.41,0.3,0.34,5396.0,23.76,3.0,1.2,3.49,0.75,7.22,15.34,2.51,3.0,2.51,23.0,8.0,5.0,36.0,1.0,3.0,0.0,2.0,0.0,4.0,21.0,22.0,30.0,7.0,14.0,43.0,26.0,12.0,17.0,20.0,5.0,6.0,0.65,0.63,1.72,0.0,1.0,0.0,36.0,31.0,31.0,16.0,0.28,0.67,0.67,2.61,2.61,2.46,46.01,4.32,4.13,9.91,1.5,26.69,14.45,4.24,4.32,4.24,36.0,25.0,24.0,85.0,4.0,2.0,0.0,9.0,1.0,25.0,20.0,32.0,57.0,6.0,12.0,48.0,16.0,3.0,21.0,46.0,10.0,5.0,1.2,1.25,1.87,0.0,1.0,3.0,85.0,61.0,61.0,1.0,1.07,0.42,0.42,4.97,4.97,4.92
teams,playoffs,CAR,2025,CAR,CAR,Team Level,5on4,15,0.88,0.92,0.89,5876.0,81.54,8.19,7.05,18.61,2.76,48.0,25.38,7.71,8.19,7.71,64.0,46.0,56.0,166.0,8.0,6.0,1.0,13.0,0.0,49.0,34.0,56.0,102.0,5.0,10.0,50.0,9.0,4.0,26.0,77.0,28.0,5.0,2.15,3.43,2.6,2.0,4.0,2.0,166.0,110.0,110.0,1.0,1.82,1.04,1.04,8.96,8.96,8.55,10.38,1.11,0.43,1.66,0.29,2.76,6.74,1.08,1.11,1.08,13.0,0.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,13.0,13.0,6.0,12.0,47.0,16.0,11.0,7.0,8.0,3.0,2.0,0.27,0.32,0.51,0.0,0.0,0.0,15.0,13.0,13.0,6.0,0.1,0.25,0.25,0.95,0.95,0.95
teams,playoffs,VGK,2025,VGK,VGK,Team Level,other,18,0.63,0.34,0.32,3323.0,20.98,10.27,1.25,2.79,0.67,8.99,6.03,9.41,10.27,9.41,17.0,13.0,19.0,49.0,10.0,3.0,2.0,1.0,0.0,9.0,7.0,7.0,20.0,1.0,2.0,20.0,9.0,4.0,18.0,8.0,4.0,18.0,0.25,0.43,9.59,0.0,0.0,10.0,49.0,30.0,30.0,12.0,0.35,0.93,0.93,9.69,9.69,8.89,45.58,5.92,3.31,9.21,1.55,29.51,13.51,5.61,5.92,5.61,40.0,23.0,34.0,97.0,3.0,2.0,0.0,4.0,0.0,36.0,18.0,37.0,60.0,2.0,4.0,36.0,14.0,2.0,9.0,43.0,15.0,5.0,1.95,1.62,2.35,0.0,1.0,2.0,97.0,63.0,63.0,4.0,0.94,0.28,0.28,6.58,6.58,6.21
teams,playoffs,VGK,2025,VGK,VGK,Team Level,all,18,0.54,0.46,0.47,67962.0,555.25,60.7,38.36,133.51,19.1,289.34,211.99,57.28,61.79,58.3,481.0,272.0,266.0,1019.0,66.0,64.0,14.0,102.0,2.0,264.0,255.0,415.0,687.0,64.0,135.0,578.0,599.0,87.0,307.0,527.0,150.0,76.0,14.67,17.81,28.21,18.0,18.0,30.0,1037.92,753.0,768.65,159.0,8.52,12.88,12.88,56.34,57.19,54.82,616.57,50.75,40.49,156.36,21.02,339.78,236.6,48.66,50.31,48.24,531.0,314.0,341.0,1186.0,46.0,61.0,8.0,107.0,2.0,332.0,297.0,485.0,799.0,63.0,126.0,520.0,646.0,82.0,299.0,660.0,138.0,47.0,19.48,16.69,14.57,19.0,17.0,10.0,1168.52,845.0,835.04,142.0,9.05,12.01,12.01,47.79,47.38,46.35
teams,playoffs,VGK,2025,VGK,VGK,Team Level,5on5,18,0.5,0.47,0.47,53734.0,439.98,36.98,28.61,112.28,15.19,230.43,173.52,35.47,38.08,36.49,379.0,218.0,206.0,803.0,41.0,49.0,9.0,85.0,0.0,209.0,213.0,338.0,556.0,59.0,123.0,460.0,568.0,63.0,263.0,441.0,117.0,39.0,12.23,14.2,10.54,14.0,15.0,12.0,821.92,597.0,612.65,135.0,5.98,8.93,8.93,34.03,34.89,34.25,483.18,37.09,29.82,127.85,16.63,258.46,191.16,35.79,36.65,35.37,412.0,249.0,256.0,917.0,35.0,51.0,6.0,84.0,2.0,248.0,241.0,377.0,626.0,57.0,114.0,399.0,614.0,72.0,263.0,525.0,100.0,36.0,14.95,12.23,9.91,16.0,12.0,7.0,899.52,661.0,651.04,131.0,6.2,10.42,10.42,32.86,32.45,31.99
teams,playoffs,VGK,2025,VGK,VGK,Team Level,4on5,18,0.19,0.13,0.13,5613.0,12.14,1.63,0.69,1.79,0.4,4.21,8.29,1.59,1.63,1.59,14.0,3.0,6.0,23.0,4.0,0.0,0.0,3.0,0.0,4.0,6.0,10.0,13.0,2.0,6.0,53.0,18.0,10.0,11.0,11.0,4.0,2.0,0.31,0.48,0.84,2.0,1.0,1.0,23.0,17.0,17.0,11.0,0.16,0.0,0.0,1.78,1.78,1.74,78.88,7.15,6.94,18.18,2.61,48.93,25.18,6.69,7.15,6.69,68.0,41.0,47.0,156.0,7.0,8.0,2.0,18.0,0.0,46.0,30.0,61.0,102.0,2.0,4.0,45.0,7.0,4.0,21.0,82.0,21.0,6.0,2.33,2.51,2.31,3.0,3.0,1.0,156.0,109.0,109.0,3.0,1.82,1.31,1.31,7.66,7.66,7.48
teams,playoffs,VGK,2025,VGK,VGK,Team Level,5on4,18,0.95,0.9,0.9,5292.0,82.16,11.82,7.8,16.66,2.84,45.71,24.16,10.82,11.82,10.82,71.0,38.0,35.0,144.0,11.0,12.0,3.0,13.0,2.0,42.0,29.0,60.0,98.0,2.0,4.0,45.0,4.0,10.0,15.0,67.0,25.0,17.0,1.88,2.71,7.23,2.0,2.0,7.0,144.0,109.0,109.0,1.0,2.04,3.02,3.02,10.84,10.84,9.94,8.93,0.59,0.42,1.12,0.24,2.89,6.74,0.57,0.59,0.57,11.0,1.0,4.0,16.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0,10.0,11.0,2.0,4.0,40.0,11.0,4.0,6.0,10.0,2.0,0.0,0.26,0.34,0.0,0.0,1.0,0.0,16.0,12.0,12.0,4.0,0.09,0.0,0.0,0.69,0.69,0.66
