team,game_type,playerId,headshot,firstName,lastName,positionCode,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,powerPlayGoals,shorthandedGoals,gameWinningGoals,overtimeGoals,shots,shootingPctg,avgTimeOnIcePerGame,avgShiftsPerGame,faceoffWinPctg
VGK,2,8482062,https://assets.nhle.com/mugs/nhl/20252026/VGK/8482062.png,{'default': 'Cole'},{'default': 'Smith'},R,63,8,4,12,-7,40,0,0,2,0,69,0.115942,796.9048,18.5238,0.3
VGK,2,8482125,https://assets.nhle.com/mugs/nhl/20252026/VGK/8482125.png,{'default': 'Alexander'},{'default': 'Holtz'},R,28,3,6,9,-1,10,0,0,0,0,30,0.1,688.8571,14.9643,0.214286
VGK,2,8483890,https://assets.nhle.com/mugs/nhl/20252026/VGK/8483890.png,{'default': 'Braeden'},{'default': 'Bowman'},R,54,8,18,26,-16,12,2,0,2,0,75,0.106667,847.8704,18.0185,0.25
VGK,2,8485251,https://assets.nhle.com/mugs/nhl/20252026/VGK/8485251.png,{'default': 'Kai'},{'default': 'Uchacz'},C,3,0,0,0,-1,5,0,0,0,0,2,0.0,731.0,17.3333,0.464286
VGK,3,8475188,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475188.png,{'default': 'Brayden'},{'default': 'McNabb'},D,15,1,3,4,7,19,0,1,0,0,18,0.055556,1251.6,29.5333,0.0
VGK,3,8475191,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475191.png,{'default': 'Reilly'},{'default': 'Smith'},R,6,0,2,2,-3,2,0,0,0,0,10,0.0,779.8333,19.1667,0.0
VGK,3,8475343,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475343.png,{'default': 'Nic'},{'default': 'Dowd'},C,16,3,1,4,-2,6,0,0,1,0,20,0.15,805.8125,20.8125,0.517766
VGK,3,8475913,https://assets.nhle.com/mugs/nhl/20252026/VGK/8475913.png,{'default': 'Mark'},{'default': 'Stone'},R,11,5,5,10,-1,6,4,0,0,0,23,0.217391,1126.0,23.0,0.0
VGK,3,8476438,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476438.png,{'default': 'Brandon'},{'default': 'Saad'},L,5,0,2,2,0,0,0,0,0,0,5,0.0,521.4,13.6,0.0
VGK,3,8476448,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476448.png,{'default': 'William'},{'default': 'Karlsson'},C,10,1,4,5,5,4,0,0,0,0,16,0.0625,1026.4,24.2,0.536424
VGK,3,8476881,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476881.png,"{'default': 'Tomas', 'cs': 'Tomáš', 'sk': 'Tomáš'}",{'default': 'Hertl'},C,16,3,6,9,-2,2,0,0,1,0,27,0.111111,779.0625,16.25,0.611111
VGK,3,8476925,https://assets.nhle.com/mugs/nhl/20252026/VGK/8476925.png,{'default': 'Colton'},{'default': 'Sissons'},C,16,2,4,6,4,4,0,0,0,0,14,0.142857,822.0625,20.4375,0.701754
VGK,3,8477018,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477018.png,{'default': 'Ben'},{'default': 'Hutton'},D,7,0,1,1,1,4,0,0,0,0,8,0.0,795.7143,18.8571,0.0
VGK,3,8477447,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477447.png,{'default': 'Shea'},{'default': 'Theodore'},D,16,4,7,11,8,6,1,0,1,1,31,0.129032,1529.0625,33.4375,0.0
VGK,3,8477964,https://assets.nhle.com/mugs/nhl/20252026/VGK/8477964.png,{'default': 'Ivan'},"{'default': 'Barbashev', 'cs': 'Barbašev', 'fi': 'Barbashov', 'sk': 'Barbašev'}",L,16,5,7,12,4,8,0,0,2,0,24,0.208333,1042.125,22.8125,0.5
VGK,3,8478396,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478396.png,{'default': 'Noah'},{'default': 'Hanifin'},D,16,0,6,6,3,2,0,0,0,0,23,0.0,1432.25,33.625,0.0
VGK,3,8478397,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478397.png,{'default': 'Rasmus'},{'default': 'Andersson'},D,16,0,5,5,4,14,0,0,0,0,22,0.0,1416.5,34.5625,0.0
VGK,3,8478403,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478403.png,{'default': 'Jack'},{'default': 'Eichel'},C,16,2,16,18,7,12,0,0,0,0,42,0.047619,1334.0,26.625,0.491289
VGK,3,8478434,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478434.png,{'default': 'Keegan'},{'default': 'Kolesar'},R,16,1,0,1,-2,6,0,0,0,0,11,0.090909,627.375,15.6875,0.285714
VGK,3,8478468,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478468.png,{'default': 'Jeremy'},{'default': 'Lauzon'},D,6,0,0,0,0,4,0,0,0,0,5,0.0,993.1667,24.3333,0.0
VGK,3,8478483,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478483.png,"{'default': 'Mitch', 'cs': 'Mitchell', 'de': 'Mitchell', 'es': 'Mitchell', 'fi': 'Mitchell', 'sk': 'Mitchell', 'sv': 'Mitchell'}",{'default': 'Marner'},R,16,7,14,21,12,6,2,0,2,0,39,0.179487,1275.6875,25.6875,0.418182
VGK,3,8479353,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479353.png,{'default': 'Brett'},{'default': 'Howden'},C,16,10,2,12,9,4,0,3,3,1,28,0.357143,1006.1875,24.5625,0.607595
VGK,3,8479639,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479639.png,{'default': 'Dylan'},{'default': 'Coghlan'},D,8,1,2,3,8,2,0,0,0,0,11,0.090909,905.25,21.0,0.0
VGK,3,8481527,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481527.png,{'default': 'Kaedan'},{'default': 'Korczak'},D,12,0,3,3,1,0,0,0,0,0,3,0.0,715.1667,18.8333,0.0
VGK,3,8481604,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481604.png,{'default': 'Pavel'},"{'default': 'Dorofeyev', 'cs': 'Dorofejev', 'fi': 'Dorofejev', 'sk': 'Dorofejev'}",R,16,10,4,14,5,0,4,0,1,1,42,0.238095,1008.0625,20.5625,0.0
VGK,3,8482062,https://assets.nhle.com/mugs/nhl/20252026/VGK/8482062.png,{'default': 'Cole'},{'default': 'Smith'},R,16,3,2,5,4,22,0,0,1,0,10,0.3,700.9375,17.5625,0.0
CAR,2,8473533,https://assets.nhle.com/mugs/nhl/20252026/CAR/8473533.png,{'default': 'Jordan'},{'default': 'Staal'},C,75,20,16,36,5,29,4,0,4,0,107,0.186916,971.2533,22.6533,0.554894
CAR,2,8475235,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475235.png,{'default': 'Nicolas'},{'default': 'Deslauriers'},L,31,0,2,2,-3,38,0,0,0,0,18,0.0,512.8387,11.6129,1.0
CAR,2,8475791,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475791.png,{'default': 'Taylor'},{'default': 'Hall'},L,80,18,30,48,6,44,3,0,1,0,137,0.131387,871.775,17.9375,0.408163
CAR,2,8476422,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476422.png,{'default': 'Mike'},{'default': 'Reilly'},D,42,1,8,9,11,26,0,1,0,0,63,0.015873,897.9286,21.1667,0.0
CAR,2,8476873,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476873.png,{'default': 'Mark'},{'default': 'Jankowski'},L,68,11,10,21,7,16,0,0,3,0,63,0.174603,669.0735,16.0147,0.513514
CAR,2,8476906,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476906.png,{'default': 'Shayne'},{'default': 'Gostisbehere'},D,55,13,37,50,11,22,6,0,1,0,116,0.112069,1153.9455,22.0727,0.0
CAR,2,8476921,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476921.png,{'default': 'Jordan'},{'default': 'Martinook'},L,77,12,17,29,6,35,0,3,3,0,109,0.110092,890.1558,20.5974,0.438356
CAR,2,8476958,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476958.png,{'default': 'Jaccob'},{'default': 'Slavin'},D,39,1,7,8,8,4,0,0,1,1,63,0.015873,1278.6154,25.0513,0.0
CAR,2,8477478,https://assets.nhle.com/mugs/nhl/20252026/CAR/8477478.png,{'default': 'William'},{'default': 'Carrier'},L,70,7,11,18,5,18,0,0,2,0,80,0.0875,645.2286,15.7143,0.388889
CAR,2,8477940,https://assets.nhle.com/mugs/nhl/20252026/CAR/8477940.png,{'default': 'Nikolaj'},{'default': 'Ehlers'},L,82,26,45,71,8,14,10,0,6,1,207,0.125604,995.7439,19.5122,0.354839
CAR,2,8478427,https://assets.nhle.com/mugs/nhl/20252026/CAR/8478427.png,{'default': 'Sebastian'},{'default': 'Aho'},C,79,27,53,80,11,46,7,2,4,2,195,0.138462,1176.7468,22.4304,0.504657
CAR,2,8478970,https://assets.nhle.com/mugs/nhl/20252026/CAR/8478970.png,{'default': 'Jalen'},{'default': 'Chatfield'},D,72,2,15,17,15,18,0,0,1,0,100,0.02,1208.3472,25.2778,0.0
CAR,2,8480291,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480291.png,{'default': 'Skyler'},"{'default': ""Brind'Amour""}",C,4,0,0,0,-2,2,0,0,0,0,2,0.0,901.0,19.0,0.511628
CAR,2,8480336,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480336.png,{'default': 'Sean'},{'default': 'Walker'},D,81,9,22,31,6,59,0,0,1,1,179,0.050279,1308.7284,27.0741,0.0
CAR,2,8480762,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480762.png,{'default': 'Eric'},{'default': 'Robinson'},L,67,12,6,18,7,8,0,0,3,0,84,0.142857,685.6716,15.4328,0.076923
CAR,2,8480817,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480817.png,"{'default': ""K'Andre""}",{'default': 'Miller'},D,72,8,29,37,7,56,1,1,1,0,123,0.065041,1343.5694,26.8889,0.0
CAR,2,8480829,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480829.png,{'default': 'Jesperi'},{'default': 'Kotkaniemi'},C,42,2,7,9,3,8,0,0,0,0,42,0.047619,681.0476,14.8333,0.485185
CAR,2,8480830,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480830.png,"{'default': 'Andrei', 'cs': 'Andrej', 'sk': 'Andrej'}","{'default': 'Svechnikov', 'cs': 'Svečnikov', 'fi': 'Svetshnikov', 'sk': 'Svečnikov'}",R,79,31,39,70,1,66,12,0,3,0,203,0.152709,1019.1013,20.1392,0.454545
CAR,2,8481004,https://assets.nhle.com/mugs/nhl/20252026/CAR/8481004.png,{'default': 'Josiah'},{'default': 'Slavin'},L,2,0,0,0,1,2,0,0,0,0,0,0.0,901.0,19.0,0.5
CAR,2,8481491,https://assets.nhle.com/mugs/nhl/20252026/CAR/8481491.png,{'default': 'Noah'},{'default': 'Philp'},C,17,2,1,3,-7,4,0,0,0,0,14,0.142857,596.5882,13.6471,0.560976
CAR,2,8481562,https://assets.nhle.com/mugs/nhl/20252026/CAR/8481562.png,{'default': 'Domenick'},{'default': 'Fensore'},D,1,0,0,0,-2,0,0,0,0,0,2,0.0,1162.0,27.0,0.0
