team,player_id,player,source,first_mention_index,context
CAR,8475883,Frederik Andersen,dailyfaceoff_starting_goalies,1242,"ights enter Game One against the Carolina Hurricanes as +137 road underdogs. Source: Sin Bin Vegas Line Combos | News | Stats | Schedule Frederik Andersen Likely 2026-06-02T14:55:02.760Z Show More 66 W-L-OTL: 16 - 14 - 5 GAA: 3.05 SV%: 0.874 SO: 0 Andersen is expected to start Game 1 of the Stanley Cup Final. At age 36, Frederik Andersen enters the Stanley Cup Finals for the first time in his"
VGK,8479394,Carter Hart,dailyfaceoff_starting_goalies,356,"Starting Goalies: Tuesday, June 2 Monday, June 1 Wednesday, June 3 Vegas Golden Knights at Carolina Hurricanes 2026-06-03T00:00:00.000Z Carter Hart Likely 2026-06-02T16:37:30.395Z Show More 100 W-L-OTL: 11 - 3 - 3 GAA: 2.71 SV%: 0.89 SO: 0 Hart is expected to start Game 1 of the Stanley Cup Final. When John Tortorella took over head coaching duties of the Vegas Golden Knights in the final wee"
