event_id,game_date,season_type,away_team,home_team,target_home_win,bet_side,skip_reason,candidate_side,candidate_team,candidate_won,bet_team,offered_american_odds,decimal_odds,model_prob,market_prob,break_even_prob,model_edge_vs_break_even,model_edge_vs_market,market_home_no_vig_prob,raw_kelly_fraction,stake_fraction,stake,won,profit,bankroll_after
401869381,2026-05-01,3,Cleveland Cavaliers,Toronto Raptors,1,home,,home,Toronto Raptors,True,Toronto Raptors,164,2.64,0.4731292426586151,0.3630958183058778,0.3787878787878788,0.09434136387073633,0.11003342435273733,0.3630958183058778,0.15186658574313652,0.03796664643578413,75.93329287156826,True,124.53060030937195,2124.530600309372
401869402,2026-05-01,3,Denver Nuggets,Minnesota Timberwolves,1,skip,market_disagreement,home,Minnesota Timberwolves,True,,250,3.5,0.6117684245109558,0.2742474916387959,0.2857142857142857,0.3260541387966701,0.3375209328721599,0.2742474916387959,0.45647579431533813,0.0,0.0,,0.0,2124.530600309372
401869410,2026-05-01,3,Boston Celtics,Philadelphia 76ers,1,home,,home,Philadelphia 76ers,True,Philadelphia 76ers,190,2.9,0.4296439886093139,0.3309929789368104,0.3448275862068966,0.08481640240241733,0.09865100967250351,0.3309929789368104,0.12945661419316337,0.03236415354829084,68.75863456645503,True,130.64140567626455,2255.1720059856366
401869417,2026-05-01,3,Detroit Pistons,Orlando Magic,0,home,,home,Orlando Magic,False,Orlando Magic,136,2.3600000000000003,0.4282066524028778,0.4066302458405761,0.42372881355932196,0.004477838843555848,0.021576406562301698,0.4066302458405761,0.007770367404993926,0.0019425918512484814,4.380878761991389,False,-4.380878761991389,2250.791127223645
401869409,2026-05-02,3,Los Angeles Lakers,Houston Rockets,0,skip,no_positive_kelly,home,Houston Rockets,False,,-192,1.5208333333333337,0.6542162299156189,0.6309403437815976,0.6575342465753423,-0.0033180166597234217,0.023275886134021317,0.6309403437815976,0.0,0.0,0.0,,0.0,2250.791127223645
401869412,2026-05-02,3,Philadelphia 76ers,Boston Celtics,0,home,,home,Boston Celtics,False,Boston Celtics,-162,1.617283950617284,0.6346257925033569,0.593369754159424,0.6183206106870228,0.016305181816334113,0.04125603834393299,0.593369754159424,0.04271957635879526,0.010679894089698815,24.038210856782342,False,-24.038210856782342,2226.752916366863
401869384,2026-05-03,3,Toronto Raptors,Cleveland Cavaliers,1,away,,away,Toronto Raptors,False,Toronto Raptors,270,3.7,0.4099264740943908,0.25912838633686697,0.27027027027027023,0.13965620382412058,0.15079808775752385,0.740871613663133,0.19138072375898008,0.04784518093974502,106.53939619167745,False,-106.53939619167745,2120.2135201751853
401869418,2026-05-03,3,Orlando Magic,Detroit Pistons,1,away,,away,Orlando Magic,False,Orlando Magic,260,3.6,0.325555682182312,0.26645768025078365,0.2777777777777778,0.04777790440453422,0.059098001931528366,0.7335423197492164,0.06615402148320126,0.016538505370800316,35.06516269066075,False,-35.06516269066075,2085.1483574845247
401871152,2026-05-05,3,Minnesota Timberwolves,San Antonio Spurs,0,skip,market_disagreement,away,Minnesota Timberwolves,True,,310,4.1,0.4851728081703186,0.23409789548356585,0.24390243902439027,0.24127036914592834,0.25107491268675275,0.7659021045164341,0.31909952048332463,0.0,0.0,,0.0,2085.1483574845247
401871159,2026-05-05,3,Philadelphia 76ers,New York Knicks,1,away,,away,Philadelphia 76ers,False,Philadelphia 76ers,235,3.35,0.3274825811386108,0.28644876973925815,0.29850746268656714,0.028975118452043647,0.04103381139935264,0.7135512302607419,0.04130495609121114,0.010326239022802785,21.53174033738983,False,-21.53174033738983,2063.616617147135
