event_id,game_date,season_type,away_team,home_team,target_home_win,bet_side,skip_reason,candidate_side,candidate_team,candidate_won,bet_team,offered_american_odds,decimal_odds,model_prob,market_prob,break_even_prob,model_edge_vs_break_even,model_edge_vs_market,market_home_no_vig_prob,raw_kelly_fraction,stake_fraction,stake,won,profit,bankroll_after
401810828,2026-03-14,2,Charlotte Hornets,San Antonio Spurs,1,away,,away,Charlotte Hornets,False,Charlotte Hornets,200,3.0,0.3679473400115967,0.3194444444444444,0.3333333333333333,0.034614006678263365,0.04850289556715226,0.6805555555555556,0.05192101001739502,0.012980252504348755,25.96050500869751,False,-25.96050500869751,1974.0394949913025
401810829,2026-03-15,2,Denver Nuggets,Los Angeles Lakers,1,skip,no_positive_kelly,away,Denver Nuggets,False,,-122,1.819672131147541,0.5362259447574615,0.5260865852617198,0.5495495495495495,-0.01332360479208794,0.01013935949574174,0.4739134147382802,0.0,0.0,0.0,,0.0,1974.0394949913025
401810830,2026-03-15,2,Sacramento Kings,LA Clippers,0,away,,away,Sacramento Kings,True,Sacramento Kings,625,7.25,0.2868964672088623,0.13228346456692908,0.13793103448275862,0.14896543272610369,0.15461300264193323,0.8677165354330709,0.17279990196228026,0.043199975490570065,85.27845780104158,True,532.9903612565099,2507.0298562478124
401810831,2026-03-15,2,Minnesota Timberwolves,Oklahoma City Thunder,1,skip,market_disagreement,away,Minnesota Timberwolves,False,,300,4.0,0.5272934436798096,0.23999999999999988,0.25,0.27729344367980957,0.2872934436798097,0.7600000000000001,0.3697245915730794,0.0,0.0,,0.0,2507.0298562478124
401810832,2026-03-15,2,Dallas Mavericks,Cleveland Cavaliers,0,away,,away,Dallas Mavericks,True,Dallas Mavericks,750,8.5,0.2816534638404846,0.11304347826086958,0.11764705882352941,0.1640064050169552,0.16860998557961504,0.8869565217391304,0.18587392568588257,0.04646848142147064,116.49787029812369,True,873.7340272359277,3380.76388348374
401810835,2026-03-15,2,Portland Trail Blazers,Philadelphia 76ers,1,skip,market_disagreement,home,Philadelphia 76ers,True,,270,3.7,0.5276222229003906,0.2591283863368669,0.27027027027027023,0.2573519526301204,0.2684938365635237,0.2591283863368669,0.35266749064127606,0.0,0.0,,0.0,3380.76388348374
401810836,2026-03-16,2,Golden State Warriors,New York Knicks,1,skip,market_disagreement,away,Golden State Warriors,False,,625,7.25,0.4815528988838196,0.13228346456692908,0.13793103448275862,0.34362186440106096,0.3492694343168905,0.8677165354330709,0.3986013627052307,0.0,0.0,,0.0,3380.76388348374
401810838,2026-03-16,2,Orlando Magic,Atlanta Hawks,1,home,,home,Atlanta Hawks,True,Atlanta Hawks,-155,1.6451612903225805,0.6341413259506226,0.5829926410466066,0.607843137254902,0.026298188695720537,0.05114868490401592,0.5829926410466066,0.06706038117408743,0.016765095293521857,56.678828671501925,True,36.566986239678656,3417.3308697234183
401810842,2026-03-17,2,Memphis Grizzlies,Chicago Bulls,1,away,,away,Memphis Grizzlies,False,Memphis Grizzlies,225,3.25,0.37056607007980347,0.294966835739368,0.3076923076923077,0.06287376238749576,0.07559923434043547,0.705033164260632,0.09081765678193834,0.022704414195484586,77.58849550921606,False,-77.58849550921606,3339.7423742142023
401810843,2026-03-17,2,Dallas Mavericks,New Orleans Pelicans,1,away,,away,Dallas Mavericks,False,Dallas Mavericks,270,3.7,0.3769618272781372,0.25912838633686697,0.27027027027027023,0.10669155700786698,0.11783344094127024,0.740871613663133,0.1462069484922621,0.036551737123065524,122.07338532104025,False,-122.07338532104025,3217.668988893162
