game_date,event_id,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,actual_winner,result,skip_reason,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after
2026-05-07,401871153,Minnesota Timberwolves at San Antonio Spurs,95-133,skip,away,Minnesota Timberwolves,,San Antonio Spurs,SKIP,market_disagreement,49.51,22.32,23.26,26.25,27.19,330,4.3,34.21,0.0,0.0,0.0,3288.99
2026-05-07,401871334,Cleveland Cavaliers at Detroit Pistons,97-107,home,home,Detroit Pistons,Detroit Pistons,Detroit Pistons,WIN,,64.29,59.34,61.83,2.46,4.96,-162,1.617,6.45,1.61,53.03,32.73,3321.72
2026-05-08,401871161,New York Knicks at Philadelphia 76ers,108-94,away,away,New York Knicks,New York Knicks,New York Knicks,WIN,,56.33,41.7,43.48,12.86,14.63,130,2.3,22.75,5.69,188.89,245.55,3567.27
2026-05-08,401871327,Los Angeles Lakers at Oklahoma City Thunder,107-125,skip,away,Los Angeles Lakers,,Oklahoma City Thunder,SKIP,market_disagreement,39.27,13.7,14.29,24.99,25.57,600,7.0,29.15,0.0,0.0,0.0,3567.27
2026-05-09,401871154,San Antonio Spurs at Minnesota Timberwolves,115-108,home,home,Minnesota Timberwolves,Minnesota Timberwolves,San Antonio Spurs,LOSS,,43.55,34.25,35.71,7.83,9.3,180,2.8,12.19,3.05,108.67,-108.67,3458.6
2026-05-09,401871335,Detroit Pistons at Cleveland Cavaliers,109-116,away,away,Detroit Pistons,Detroit Pistons,Cleveland Cavaliers,LOSS,,56.75,36.91,38.46,18.29,19.84,160,2.6,29.72,7.43,256.93,-256.93,3201.66
2026-05-10,401871155,San Antonio Spurs at Minnesota Timberwolves,109-114,home,home,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,WIN,,43.25,36.31,37.88,5.37,6.94,164,2.64,8.65,2.16,69.23,113.53,3315.19
2026-05-10,401871162,New York Knicks at Philadelphia 76ers,144-114,away,away,New York Knicks,New York Knicks,New York Knicks,WIN,,56.24,53.25,55.56,0.69,3.0,-125,1.8,1.54,0.39,12.8,10.24,3325.43
2026-05-10,401871328,Oklahoma City Thunder at Los Angeles Lakers,131-108,skip,home,Los Angeles Lakers,,Oklahoma City Thunder,SKIP,market_disagreement,64.28,24.0,25.0,39.28,40.28,300,4.0,52.38,0.0,0.0,0.0,3325.43
2026-05-12,401871329,Oklahoma City Thunder at Los Angeles Lakers,115-110,skip,home,Los Angeles Lakers,,Oklahoma City Thunder,SKIP,market_disagreement,64.09,18.27,19.05,45.04,45.81,425,5.25,55.64,0.0,0.0,0.0,3325.43
2026-05-12,401871336,Detroit Pistons at Cleveland Cavaliers,103-112,away,away,Detroit Pistons,Detroit Pistons,Cleveland Cavaliers,LOSS,,56.66,40.04,41.67,14.99,16.62,140,2.4,25.7,6.42,213.63,-213.63,3111.81
2026-05-13,401871156,Minnesota Timberwolves at San Antonio Spurs,97-126,away,away,Minnesota Timberwolves,Minnesota Timberwolves,San Antonio Spurs,LOSS,,35.45,22.85,23.81,11.64,12.6,320,4.2,15.28,3.82,118.85,-118.85,2992.96
2026-05-14,401871337,Cleveland Cavaliers at Detroit Pistons,117-113,home,home,Detroit Pistons,Detroit Pistons,Cleveland Cavaliers,LOSS,,64.43,60.38,62.96,1.47,4.05,-170,1.588,3.96,0.99,29.62,-29.62,2963.34
2026-05-15,401871338,Detroit Pistons at Cleveland Cavaliers,115-94,away,away,Detroit Pistons,Detroit Pistons,Detroit Pistons,WIN,,52.59,39.08,40.82,11.77,13.51,145,2.45,19.89,4.97,147.37,213.68,3177.02
