event_id,game_date,season_type,away_team,home_team,target_home_win,bet_side,skip_reason,candidate_side,candidate_team,candidate_won,bet_team,offered_american_odds,decimal_odds,model_prob,market_prob,break_even_prob,model_edge_vs_break_even,model_edge_vs_market,market_home_no_vig_prob,raw_kelly_fraction,stake_fraction,stake,won,profit,bankroll_after
401810937,2026-03-29,2,LA Clippers,Milwaukee Bucks,0,skip,market_disagreement,home,Milwaukee Bucks,False,,800,9.0,0.428957462310791,0.10661764705882354,0.1111111111111111,0.3178463511996799,0.3223398152519675,0.10661764705882354,0.3575771450996399,0.0,0.0,,0.0,2000.0
401810938,2026-03-29,2,Miami Heat,Indiana Pacers,1,home,,home,Indiana Pacers,True,Indiana Pacers,280,3.8,0.4306592345237732,0.2522172949002217,0.2631578947368421,0.1675013397869311,0.17844193962355148,0.2522172949002217,0.22732324685369218,0.056830811713423045,113.66162342684609,True,318.252545595169,2318.252545595169
401810939,2026-03-29,2,Sacramento Kings,Brooklyn Nets,1,away,,away,Sacramento Kings,False,Sacramento Kings,100,2.0,0.5715954601764679,0.4782608695652174,0.5,0.0715954601764679,0.09333459061125049,0.5217391304347826,0.1431909203529358,0.03579773008823395,82.98817890357712,False,-82.98817890357712,2235.264366691592
401810940,2026-03-29,2,Boston Celtics,Charlotte Hornets,0,home,,home,Charlotte Hornets,False,Charlotte Hornets,-135,1.7407407407407407,0.668948769569397,0.551441114716549,0.574468085106383,0.09448068446301394,0.11750765485284798,0.551441114716549,0.22202960848808284,0.05550740212202071,124.07371805097415,False,-124.07371805097415,2111.190648640618
401810941,2026-03-29,2,Orlando Magic,Toronto Raptors,1,home,,home,Toronto Raptors,True,Toronto Raptors,-122,1.819672131147541,0.6590288281440735,0.5260865852617197,0.5495495495495495,0.109479278594524,0.1329422428823538,0.5260865852617197,0.2430439984798431,0.06076099961996077,128.27805419971733,True,105.14594606534207,2216.33659470596
401810942,2026-03-29,2,Washington Wizards,Portland Trail Blazers,1,away,,away,Washington Wizards,False,Washington Wizards,950,10.5,0.3264017701148987,0.09174311926605494,0.09523809523809523,0.23116367487680345,0.23465865084884374,0.9082568807339451,0.255496693284888,0.063874173321222,141.56666778841546,False,-141.56666778841546,2074.7699269175446
401810943,2026-03-29,2,Houston Rockets,New Orleans Pelicans,0,home,,home,New Orleans Pelicans,False,New Orleans Pelicans,205,3.05,0.42822954058647156,0.31460674157303364,0.3278688524590164,0.10036068812745513,0.11362279901343791,0.31460674157303364,0.14931712136036013,0.03732928034009003,77.44966824309313,False,-77.44966824309313,1997.3202586744515
401810944,2026-03-29,2,New York Knicks,Oklahoma City Thunder,1,skip,market_disagreement,away,New York Knicks,False,,285,3.85,0.5687945783138275,0.2491874322860238,0.2597402597402597,0.3090543185735678,0.3196071460278037,0.7508125677139762,0.417494430353767,0.0,0.0,,0.0,1997.3202586744515
401810945,2026-03-30,2,Golden State Warriors,Denver Nuggets,1,away,,away,Golden State Warriors,False,Golden State Warriors,455,5.55,0.3231222629547119,0.17287630402384502,0.1801801801801802,0.14294208277453171,0.1502459589308669,0.827123695976155,0.17435792514256065,0.043589481285640164,87.06215403691998,False,-87.06215403691998,1910.2581046375315
401810946,2026-03-30,2,Philadelphia 76ers,Miami Heat,1,skip,no_positive_kelly,away,Philadelphia 76ers,False,,-142,1.704225352112676,0.5667025148868561,0.5634920634920635,0.5867768595041323,-0.020074344617276196,0.0032104513947925906,0.43650793650793646,0.0,0.0,0.0,,0.0,1910.2581046375315
401810947,2026-03-30,2,Boston Celtics,Atlanta Hawks,1,home,,home,Atlanta Hawks,True,Atlanta Hawks,-142,1.704225352112676,0.6469876170158386,0.5634920634920635,0.5867768595041323,0.06021075751170635,0.08349555352377513,0.5634920634920635,0.14571003317832945,0.03642750829458236,69.58594295147687,True,49.00418517709638,1959.2622898146278
401810948,2026-03-31,2,Phoenix Suns,Memphis Grizzlies,0,skip,market_disagreement,home,Memphis Grizzlies,False,,500,6.0,0.45760196447372437,0.15999999999999998,0.16666666666666666,0.29093529780705774,0.2976019644737244,0.15999999999999998,0.34912235736846925,0.0,0.0,,0.0,1959.2622898146278
401810949,2026-03-31,2,Chicago Bulls,San Antonio Spurs,1,skip,market_disagreement,away,Chicago Bulls,False,,1100,12.0,0.353155255317688,0.08029197080291961,0.08333333333333333,0.2698219219843547,0.2728632845147684,0.9197080291970804,0.29435118761929596,0.0,0.0,,0.0,1959.2622898146278
401810950,2026-03-31,2,Minnesota Timberwolves,Dallas Mavericks,0,home,,home,Dallas Mavericks,False,Dallas Mavericks,280,3.8,0.43010786175727844,0.2522172949002217,0.2631578947368421,0.16694996702043635,0.17789056685705673,0.2522172949002217,0.22657495524202076,0.05664373881050519,110.9799414055321,False,-110.9799414055321,1848.2823484090957
401810951,2026-03-31,2,Cleveland Cavaliers,Utah Jazz,0,skip,market_disagreement,home,Utah Jazz,False,,900,10.0,0.6129384636878967,0.096045197740113,0.1,0.5129384636878968,0.5168932659477837,0.096045197740113,0.5699316263198853,0.0,0.0,,0.0,1848.2823484090957
401810952,2026-03-31,2,Detroit Pistons,Oklahoma City Thunder,1,skip,market_disagreement,away,Detroit Pistons,False,,470,5.7,0.5717463791370392,0.16835016835016847,0.17543859649122806,0.3963077826458111,0.4033962107868707,0.8316498316498315,0.4806285874640688,0.0,0.0,,0.0,1848.2823484090957
401810953,2026-03-31,2,Washington Wizards,Los Angeles Lakers,1,away,,away,Washington Wizards,False,Washington Wizards,850,9.5,0.32369548082351685,0.10114192495921692,0.10526315789473684,0.21843232292878,0.22255355586429992,0.8988580750407831,0.24413024327334235,0.061032560818335586,112.80540483873426,False,-112.80540483873426,1735.4769435703615
401810954,2026-03-31,2,Phoenix Suns,Orlando Magic,1,away,,away,Phoenix Suns,False,Phoenix Suns,110,2.1,0.5699057877063751,0.4572564612326043,0.47619047619047616,0.09371531151589896,0.1126493264737708,0.5427435387673957,0.17891104925762522,0.044727762314406304,77.62400023414745,False,-77.62400023414745,1657.8529433362141
401810955,2026-03-31,2,Charlotte Hornets,Brooklyn Nets,0,skip,market_disagreement,home,Brooklyn Nets,False,,1100,12.0,0.42824846506118774,0.08029197080291971,0.08333333333333333,0.34491513172785443,0.347956494258268,0.08029197080291971,0.376271052794023,0.0,0.0,,0.0,1657.8529433362141
401811054,2026-04-13,2,Golden State Warriors,LA Clippers,1,away,,away,Golden State Warriors,False,Golden State Warriors,136,2.3600000000000003,0.44477880001068115,0.40663024584057605,0.42372881355932196,0.021049986451359193,0.0381485541701051,0.593369754159424,0.03652791766559384,0.00913197941639846,15.139478953961909,False,-15.139478953961909,1642.7134643822521
401869187,2026-04-18,3,Toronto Raptors,Cleveland Cavaliers,1,away,,away,Toronto Raptors,False,Toronto Raptors,295,3.95,0.4781070351600647,0.24281150159744413,0.2531645569620253,0.22494247819803942,0.23529553356262056,0.7571884984025559,0.3011941657227985,0.07529854143069963,123.69392785655512,False,-123.69392785655512,1519.019536525697
401869188,2026-04-18,3,Minnesota Timberwolves,Denver Nuggets,1,away,,away,Minnesota Timberwolves,False,Minnesota Timberwolves,220,3.2,0.3393678665161133,0.2998379254457051,0.3125,0.02686786651611328,0.03952994107040819,0.7001620745542949,0.03908053311434663,0.009770133278586658,14.841023324632994,False,-14.841023324632994,1504.178513201064
401869189,2026-04-18,3,Atlanta Hawks,New York Knicks,1,skip,no_positive_kelly,away,Atlanta Hawks,False,,195,2.95,0.32720762491226196,0.3249687530045188,0.3389830508474576,-0.01177542593519565,0.0022388719077431896,0.6750312469954812,0.0,0.0,0.0,,0.0,1504.178513201064
401869190,2026-04-19,3,Houston Rockets,Los Angeles Lakers,1,skip,no_positive_kelly,home,Los Angeles Lakers,True,,114,2.1399999999999997,0.452643483877182,0.448558885283451,0.4672897196261683,-0.01464623574898627,0.004084598593731004,0.448558885283451,0.0,0.0,0.0,,0.0,1504.178513201064
401869191,2026-04-19,3,Philadelphia 76ers,Boston Celtics,1,away,,away,Philadelphia 76ers,False,Philadelphia 76ers,575,6.75,0.3680052161216736,0.14205607476635507,0.14814814814814814,0.21985706797352544,0.22594914135531852,0.8579439252336449,0.2580930797950081,0.06452326994875203,97.05451625838472,False,-97.05451625838472,1407.1239969426795
401869192,2026-04-19,3,Phoenix Suns,Oklahoma City Thunder,1,away,,away,Phoenix Suns,False,Phoenix Suns,850,9.5,0.32962745428085327,0.10114192495921692,0.10526315789473684,0.22436429638611644,0.22848552932163635,0.8988580750407831,0.25076009596095367,0.06269002399023842,88.21263712557675,False,-88.21263712557675,1318.9113598171027
401869193,2026-04-19,3,Orlando Magic,Detroit Pistons,0,away,,away,Orlando Magic,True,Orlando Magic,310,4.1,0.3237433433532715,0.23409789548356585,0.24390243902439027,0.07984090432888122,0.08964544786970563,0.7659021045164341,0.10559603475755261,0.026399008689388152,34.817952448344435,True,107.93565258986774,1426.8470124069704
401869194,2026-04-20,3,Portland Trail Blazers,San Antonio Spurs,1,away,,away,Portland Trail Blazers,False,Portland Trail Blazers,500,6.0,0.3253028392791748,0.16000000000000003,0.16666666666666666,0.15863617261250815,0.16530283927917477,0.84,0.19036340713500977,0.04759085178375244,67.90486468555011,False,-67.90486468555011,1358.9421477214203
401869369,2026-04-20,3,Toronto Raptors,Cleveland Cavaliers,1,away,,away,Toronto Raptors,False,Toronto Raptors,350,4.5,0.35247737169265747,0.21325648414985587,0.2222222222222222,0.13025514947043526,0.1392208875428016,0.7867435158501441,0.16747090646198817,0.04186772661549704,56.895818327076825,False,-56.895818327076825,1302.0463293943435
