game_date,event_id,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,actual_winner,result,skip_reason,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after
2026-04-25,401869400,Los Angeles Lakers at Houston Rockets,112-108,away,away,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,WIN,,49.38,31.46,32.79,16.59,17.92,205,3.05,24.68,6.17,159.86,327.72,2918.45
2026-04-25,401869414,Detroit Pistons at Orlando Magic,105-113,away,away,Detroit Pistons,Detroit Pistons,Orlando Magic,LOSS,,60.16,53.25,55.56,4.6,6.91,-125,1.8,10.35,2.59,75.54,-75.54,2842.91
2026-04-26,401869377,Cleveland Cavaliers at Toronto Raptors,89-93,home,home,Toronto Raptors,Toronto Raptors,Toronto Raptors,WIN,,49.96,37.75,39.37,10.59,12.2,154,2.54,17.46,4.37,124.11,191.13,3034.05
2026-04-26,401869385,San Antonio Spurs at Portland Trail Blazers,114-93,home,home,Portland Trail Blazers,Portland Trail Blazers,San Antonio Spurs,LOSS,,41.11,33.64,35.09,6.02,7.48,185,2.85,9.28,2.32,70.4,-70.4,2963.65
2026-04-26,401869399,Denver Nuggets at Minnesota Timberwolves,96-112,home,home,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,WIN,,61.15,48.26,50.5,10.66,12.89,-102,1.98,21.53,5.38,159.49,156.37,3120.01
2026-04-26,401869406,Boston Celtics at Philadelphia 76ers,128-96,home,home,Philadelphia 76ers,Philadelphia 76ers,Boston Celtics,LOSS,,44.73,33.1,34.48,10.24,11.63,190,2.9,15.63,3.91,121.95,-121.95,2998.07
2026-04-27,401869405,Los Angeles Lakers at Houston Rockets,96-115,away,away,Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,LOSS,,48.53,40.66,42.37,6.16,7.87,136,2.36,10.69,2.67,80.15,-80.15,2917.92
2026-04-28,401869373,Oklahoma City Thunder at Phoenix Suns,131-122,home,home,Phoenix Suns,Phoenix Suns,Oklahoma City Thunder,LOSS,,38.65,19.18,20.0,18.65,19.46,400,5.0,23.31,5.83,170.03,-170.03,2747.89
2026-04-28,401869401,Minnesota Timberwolves at Denver Nuggets,113-125,skip,away,Minnesota Timberwolves,,Denver Nuggets,SKIP,market_disagreement,52.49,19.57,20.41,32.09,32.92,390,4.9,40.31,0.0,0.0,0.0,2747.89
2026-04-28,401869408,Philadelphia 76ers at Boston Celtics,113-97,away,away,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,WIN,,34.08,21.81,22.73,11.35,12.27,340,4.4,14.69,3.67,100.89,343.02,3090.91
2026-04-28,401869415,Detroit Pistons at Orlando Magic,88-94,skip,home,Orlando Magic,,Orlando Magic,SKIP,no_positive_kelly,41.44,40.04,41.67,-0.23,1.4,140,2.4,0.0,0.0,0.0,0.0,3090.91
2026-04-29,401869380,Toronto Raptors at Cleveland Cavaliers,120-125,away,away,Toronto Raptors,Toronto Raptors,Cleveland Cavaliers,LOSS,,41.55,23.41,24.39,17.16,18.14,310,4.1,22.69,5.67,175.34,-175.34,2915.57
2026-04-29,401869386,Portland Trail Blazers at San Antonio Spurs,95-114,away,away,Portland Trail Blazers,Portland Trail Blazers,San Antonio Spurs,LOSS,,26.25,18.27,19.05,7.2,7.97,425,5.25,8.89,2.22,64.82,-64.82,2850.74
2026-04-29,401869392,Atlanta Hawks at New York Knicks,97-126,away,away,Atlanta Hawks,Atlanta Hawks,New York Knicks,LOSS,,40.51,31.46,32.79,7.72,9.05,205,3.05,11.49,2.87,81.86,-81.86,2768.88
2026-04-29,401869416,Orlando Magic at Detroit Pistons,109-116,away,away,Orlando Magic,Orlando Magic,Detroit Pistons,LOSS,,31.25,21.33,22.22,9.03,9.92,350,4.5,11.61,2.9,80.34,-80.34,2688.54
2026-04-30,401869393,New York Knicks at Atlanta Hawks,140-89,skip,home,Atlanta Hawks,,New York Knicks,SKIP,no_positive_kelly,44.26,43.65,45.45,-1.19,0.61,120,2.2,0.0,0.0,0.0,0.0,2688.54
2026-04-30,401869407,Houston Rockets at Los Angeles Lakers,99-93,skip,away,Houston Rockets,,Houston Rockets,SKIP,no_positive_kelly,41.49,41.7,43.48,-1.99,-0.21,130,2.3,0.0,0.0,0.0,0.0,2688.54
