event_id,game_date,season_type,away_team,home_team,target_home_win,bet_side,skip_reason,candidate_side,candidate_team,candidate_won,bet_team,offered_american_odds,decimal_odds,model_prob,market_prob,break_even_prob,model_edge_vs_break_even,model_edge_vs_market,market_home_no_vig_prob,raw_kelly_fraction,stake_fraction,stake,won,profit,bankroll_after
401810937,2026-03-29,2,LA Clippers,Milwaukee Bucks,0,home,,home,Milwaukee Bucks,False,Milwaukee Bucks,800,9.0,0.256523996591568,0.1066176470588235,0.1111111111111111,0.1454128854804569,0.1499063495327445,0.1066176470588235,0.163589496165514,0.0408973740413785,81.794748082757,False,-81.794748082757,1918.205251917243
401810938,2026-03-29,2,Miami Heat,Indiana Pacers,1,home,,home,Indiana Pacers,True,Indiana Pacers,280,3.8,0.3001106381416321,0.2522172949002217,0.2631578947368421,0.03695274340478999,0.04789334324141037,0.2522172949002217,0.05015015176364351,0.012537537940910878,24.049571124366942,True,67.33879914822744,1985.5440510654705
401810939,2026-03-29,2,Sacramento Kings,Brooklyn Nets,1,away,,away,Sacramento Kings,False,Sacramento Kings,100,2.0,0.5834395885467529,0.4782608695652174,0.5,0.08343958854675293,0.10517871898153552,0.5217391304347826,0.16687917709350586,0.041719794273376465,82.83648933117793,False,-82.83648933117793,1902.7075617342925
401810940,2026-03-29,2,Boston Celtics,Charlotte Hornets,0,home,,home,Charlotte Hornets,False,Charlotte Hornets,-135,1.7407407407407407,0.5829585790634155,0.551441114716549,0.574468085106383,0.008490493957032497,0.03151746434686653,0.551441114716549,0.01995266079902644,0.00498816519975661,9.491019644756749,False,-9.491019644756749,1893.2165420895358
401810941,2026-03-29,2,Orlando Magic,Toronto Raptors,1,home,,home,Toronto Raptors,True,Toronto Raptors,-122,1.819672131147541,0.6553974151611328,0.5260865852617197,0.5495495495495495,0.10584786561158332,0.12931082989941312,0.5260865852617197,0.2349822616577149,0.05874556541442873,111.21807621699938,True,91.16235755491752,1984.3788996444532
401810942,2026-03-29,2,Washington Wizards,Portland Trail Blazers,1,away,,away,Washington Wizards,False,Washington Wizards,950,10.5,0.2747594118118286,0.09174311926605483,0.09523809523809523,0.17952131657373338,0.18301629254577378,0.9082568807339452,0.1984182972657053,0.04960457431642633,98.43427059936158,False,-98.43427059936158,1885.9446290450917
401810943,2026-03-29,2,Houston Rockets,New Orleans Pelicans,0,home,,home,New Orleans Pelicans,False,New Orleans Pelicans,205,3.05,0.3926448225975036,0.3146067415730336,0.3278688524590164,0.06477597013848718,0.07803808102447002,0.3146067415730336,0.09637400435238344,0.02409350108809586,45.43900897198646,False,-45.43900897198646,1840.5056200731053
401810944,2026-03-29,2,New York Knicks,Oklahoma City Thunder,1,away,,away,New York Knicks,False,New York Knicks,285,3.85,0.3981944322586059,0.2491874322860238,0.2597402597402597,0.13845417251834619,0.1490069999725821,0.7508125677139762,0.18703458392829223,0.046758645982073056,86.05955071701419,False,-86.05955071701419,1754.4460693560911
401810945,2026-03-30,2,Golden State Warriors,Denver Nuggets,1,away,,away,Golden State Warriors,False,Golden State Warriors,455,5.55,0.2112718820571899,0.17287630402384502,0.1801801801801802,0.031091701877009714,0.038395578033344896,0.827123695976155,0.03792504294888001,0.009481260737220002,16.634360632955868,False,-16.634360632955868,1737.8117087231353
401810946,2026-03-30,2,Philadelphia 76ers,Miami Heat,1,home,,home,Miami Heat,True,Miami Heat,120,2.2,0.4887601435184479,0.4365079365079364,0.45454545454545453,0.034214688972993346,0.052252207010511476,0.4365079365079364,0.0627269297838212,0.0156817324459553,27.251898257644612,True,32.70227790917354,1770.5139866323088
401810947,2026-03-30,2,Boston Celtics,Atlanta Hawks,1,away,,away,Boston Celtics,False,Boston Celtics,120,2.2,0.483672022819519,0.4365079365079365,0.45454545454545453,0.029126568274064457,0.047164086311582476,0.5634920634920635,0.05339870850245157,0.013349677125612892,23.635790067923022,False,-23.635790067923022,1746.878196564386
