game_date,event_id,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,actual_winner,result,skip_reason,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after
2026-05-06,401871326,Los Angeles Lakers at Oklahoma City Thunder,90-108,away,away,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,LOSS,,35.58,13.7,14.29,21.29,21.88,600,7.0,24.84,6.21,161.28,-161.28,2435.54
2026-05-07,401871153,Minnesota Timberwolves at San Antonio Spurs,95-133,away,away,Minnesota Timberwolves,Minnesota Timberwolves,San Antonio Spurs,LOSS,,43.27,22.32,23.26,20.01,20.95,330,4.3,26.08,6.52,158.8,-158.8,2276.74
2026-05-07,401871334,Cleveland Cavaliers at Detroit Pistons,97-107,home,home,Detroit Pistons,Detroit Pistons,Detroit Pistons,WIN,,62.72,59.34,61.83,0.89,3.39,-162,1.617,2.34,0.58,13.3,8.21,2284.95
2026-05-08,401871161,New York Knicks at Philadelphia 76ers,108-94,away,away,New York Knicks,New York Knicks,New York Knicks,WIN,,58.84,41.7,43.48,15.36,17.14,130,2.3,27.18,6.8,155.29,201.87,2486.83
2026-05-08,401871327,Los Angeles Lakers at Oklahoma City Thunder,107-125,away,away,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,LOSS,,34.71,13.7,14.29,20.43,21.01,600,7.0,23.83,5.96,148.16,-148.16,2338.67
2026-05-09,401871154,San Antonio Spurs at Minnesota Timberwolves,115-108,home,home,Minnesota Timberwolves,Minnesota Timberwolves,San Antonio Spurs,LOSS,,43.06,34.25,35.71,7.34,8.8,180,2.8,11.42,2.86,66.78,-66.78,2271.89
2026-05-09,401871335,Detroit Pistons at Cleveland Cavaliers,109-116,away,away,Detroit Pistons,Detroit Pistons,Cleveland Cavaliers,LOSS,,55.11,36.91,38.46,16.65,18.21,160,2.6,27.06,6.77,153.7,-153.7,2118.18
2026-05-10,401871155,San Antonio Spurs at Minnesota Timberwolves,109-114,home,home,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,WIN,,41.07,36.31,37.88,3.2,4.77,164,2.64,5.14,1.29,27.24,44.68,2162.86
2026-05-10,401871162,New York Knicks at Philadelphia 76ers,144-114,away,away,New York Knicks,New York Knicks,New York Knicks,WIN,,58.87,53.25,55.56,3.31,5.62,-125,1.8,7.45,1.86,40.28,32.23,2195.09
2026-05-10,401871328,Oklahoma City Thunder at Los Angeles Lakers,131-108,home,home,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,LOSS,,43.12,24.0,25.0,18.12,19.12,300,4.0,24.17,6.04,132.62,-132.62,2062.48
