game_date,event_id,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,actual_winner,result,skip_reason,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after
2026-05-10,401871328,Oklahoma City Thunder at Los Angeles Lakers,131-108,home,home,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,LOSS,,31.48,24.0,25.0,6.48,7.48,300,4.0,8.64,2.16,44.92,-44.92,2034.71
2026-05-12,401871329,Oklahoma City Thunder at Los Angeles Lakers,115-110,home,home,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,LOSS,,28.9,18.27,19.05,9.85,10.63,425,5.25,12.17,3.04,61.91,-61.91,1972.8
2026-05-12,401871336,Detroit Pistons at Cleveland Cavaliers,103-112,away,away,Detroit Pistons,Detroit Pistons,Cleveland Cavaliers,LOSS,,49.04,40.04,41.67,7.37,9.0,140,2.4,12.64,3.16,62.34,-62.34,1910.46
2026-05-13,401871156,Minnesota Timberwolves at San Antonio Spurs,97-126,away,away,Minnesota Timberwolves,Minnesota Timberwolves,San Antonio Spurs,LOSS,,25.64,22.85,23.81,1.83,2.79,320,4.2,2.4,0.6,11.47,-11.47,1898.99
2026-05-14,401871337,Cleveland Cavaliers at Detroit Pistons,117-113,home,home,Detroit Pistons,Detroit Pistons,Cleveland Cavaliers,LOSS,,63.67,60.38,62.96,0.71,3.3,-170,1.588,1.91,0.48,9.09,-9.09,1889.9
2026-05-15,401871338,Detroit Pistons at Cleveland Cavaliers,115-94,away,away,Detroit Pistons,Detroit Pistons,Detroit Pistons,WIN,,44.34,39.08,40.82,3.52,5.26,145,2.45,5.95,1.49,28.1,40.75,1930.65
2026-05-16,401871157,San Antonio Spurs at Minnesota Timberwolves,139-109,home,home,Minnesota Timberwolves,Minnesota Timberwolves,San Antonio Spurs,LOSS,,35.73,33.64,35.09,0.65,2.1,185,2.85,1.0,0.25,4.81,-4.81,1925.84
2026-05-18,401871339,Cleveland Cavaliers at Detroit Pistons,125-94,skip,home,Detroit Pistons,,Cleveland Cavaliers,SKIP,no_positive_kelly,64.66,63.09,65.75,-1.1,1.56,-192,1.521,0.0,0.0,0.0,0.0,1925.84
2026-05-19,401873197,San Antonio Spurs at Oklahoma City Thunder,122-115,away,away,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,WIN,,40.12,30.42,31.75,8.37,9.69,215,3.15,12.26,3.07,59.05,126.95,2052.79
2026-05-20,401873341,Cleveland Cavaliers at New York Knicks,104-115,skip,away,Cleveland Cavaliers,,New York Knicks,SKIP,no_positive_kelly,32.17,31.94,33.33,-1.16,0.22,200,3.0,0.0,0.0,0.0,0.0,2052.79
2026-05-21,401873198,San Antonio Spurs at Oklahoma City Thunder,113-122,away,away,San Antonio Spurs,San Antonio Spurs,Oklahoma City Thunder,LOSS,,39.51,30.92,32.26,7.25,8.59,210,3.1,10.7,2.68,54.93,-54.93,1997.86
2026-05-22,401873342,Cleveland Cavaliers at New York Knicks,93-109,home,home,New York Knicks,New York Knicks,New York Knicks,WIN,,70.58,63.69,66.44,4.13,6.89,-198,1.505,12.32,3.08,61.52,31.07,2028.93
2026-05-23,401873199,Oklahoma City Thunder at San Antonio Spurs,123-108,away,away,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,WIN,,47.37,42.79,44.64,2.73,4.58,124,2.24,4.93,1.23,25.02,31.03,2059.96
2026-05-24,401873343,New York Knicks at Cleveland Cavaliers,121-108,away,away,New York Knicks,New York Knicks,New York Knicks,WIN,,63.24,43.65,45.45,17.79,19.59,120,2.2,32.61,8.15,167.93,201.51,2261.47
2026-05-25,401873200,Oklahoma City Thunder at San Antonio Spurs,82-103,away,away,Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,LOSS,,50.03,42.79,44.64,5.39,7.24,124,2.24,9.73,2.43,55.01,-55.01,2206.46
2026-05-26,401873344,New York Knicks at Cleveland Cavaliers,130-93,away,away,New York Knicks,New York Knicks,New York Knicks,WIN,,65.35,55.14,57.45,7.91,10.21,-135,1.741,18.58,4.64,102.48,75.91,2282.37
2026-05-27,401873201,San Antonio Spurs at Oklahoma City Thunder,114-127,skip,home,Oklahoma City Thunder,,Oklahoma City Thunder,SKIP,no_positive_kelly,60.34,59.34,61.83,-1.5,1.0,-162,1.617,0.0,0.0,0.0,0.0,2282.37
2026-05-29,401873202,Oklahoma City Thunder at San Antonio Spurs,91-118,away,away,Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,LOSS,,46.8,40.04,41.67,5.13,6.76,140,2.4,8.79,2.2,50.17,-50.17,2232.2
2026-05-31,401873203,San Antonio Spurs at Oklahoma City Thunder,111-103,home,home,Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,LOSS,,58.85,56.35,58.68,0.17,2.5,-142,1.704,0.42,0.1,2.32,-2.32,2229.88
