event_id,market_provider,market_details,home_odds,away_odds,home_decimal_odds,away_decimal_odds,home_raw_implied_prob,away_raw_implied_prob,market_home_no_vig_prob,market_away_no_vig_prob,market_spread,market_over_under,home_spread_odds,away_spread_odds
401809238,DraftKings,NY -4.5,-180,150,1.5555555555555556,2.5,0.6428571428571429,0.4,0.6164383561643836,0.3835616438356164,-4.5,241.5,-102,-118
401809239,DraftKings,OKC -10.5,-355,280,1.2816901408450705,3.8,0.7802197802197802,0.2631578947368421,0.7477827050997783,0.2522172949002217,-10.5,234.5,-102,-118
401809240,DraftKings,GS -8.5,-310,250,1.3225806451612903,3.5,0.7560975609756098,0.2857142857142857,0.725752508361204,0.274247491638796,-8.5,231.5,-115,-105
401809241,DraftKings,HOU -1.5,105,-125,2.05,1.8,0.4878048780487805,0.5555555555555556,0.4675324675324675,0.5324675324675325,1.5,231.5,-105,-115
401809242,DraftKings,MIN -1.5,-105,-115,1.9523809523809523,1.8695652173913042,0.5121951219512195,0.5348837209302325,0.4891657638136511,0.5108342361863489,1.5,238.5,-115,-105
401809247,DraftKings,ATL -1.5,-120,100,1.8333333333333335,2.0,0.5454545454545454,0.5,0.5217391304347826,0.4782608695652174,-1.5,232.5,-105,-115
401809248,DraftKings,OKC -6.5,185,-225,2.85,1.4444444444444444,0.3508771929824561,0.6923076923076923,0.33635187580853815,0.6636481241914618,6.5,229.5,-118,-102
401809249,DraftKings,NY -12.5,-550,410,1.1818181818181819,5.1,0.8461538461538461,0.19607843137254902,0.8118668596237336,0.18813314037626638,-12.5,231.5,-115,-105
401809250,DraftKings,DET -2.5,-135,114,1.7407407407407407,2.1399999999999997,0.574468085106383,0.4672897196261682,0.551441114716549,0.448558885283451,-2.5,223.5,-110,-110
401809800,DraftKings,ORL -4.5,160,-192,2.6,1.5208333333333335,0.38461538461538464,0.6575342465753424,0.3690596562184025,0.6309403437815975,4.5,229.5,-105,-115
401809801,DraftKings,LAL -6.5,-258,210,1.3875968992248062,3.1,0.7206703910614525,0.3225806451612903,0.690792883054068,0.30920711694593195,-6.5,227.5,-105,-115
401809802,DraftKings,DET -1.5,105,-125,2.05,1.8,0.4878048780487805,0.5555555555555556,0.4675324675324675,0.5324675324675325,1.5,234.5,-105,-115
401809803,DraftKings,NY -6.5,215,-265,3.15,1.3773584905660377,0.31746031746031744,0.726027397260274,0.30423004792665137,0.6957699520733487,6.5,242.5,-108,-112
401809804,DraftKings,MIA -10.5,-440,340,1.2272727272727273,4.4,0.8148148148148148,0.22727272727272727,0.7819063004846527,0.2180936995153473,-10.5,236.5,-108,-112
401809805,DraftKings,TOR -9.5,-440,340,1.2272727272727273,4.4,0.8148148148148148,0.22727272727272727,0.7819063004846527,0.2180936995153473,-9.5,233.5,-112,-108
401809806,DraftKings,OKC -10.5,-470,360,1.2127659574468086,4.6,0.8245614035087719,0.21739130434782608,0.7913616398243045,0.20863836017569548,-10.5,226.5,-115,-105
401809807,DraftKings,MEM -3.5,140,-166,2.4,1.6024096385542168,0.4166666666666667,0.6240601503759399,0.4003612281757977,0.5996387718242022,3.5,236.5,-105,-115
401809808,DraftKings,GS -3.5,-162,136,1.617283950617284,2.3600000000000003,0.6183206106870229,0.423728813559322,0.593369754159424,0.40663024584057605,-3.5,224.5,-105,-115
401809810,DraftKings,PHX -4.5,154,-185,2.54,1.5405405405405406,0.3937007874015748,0.6491228070175439,0.3775334481388264,0.6224665518611736,4.5,233.5,-108,-112
401809811,DraftKings,CLE -6.5,210,-258,3.1,1.3875968992248062,0.3225806451612903,0.7206703910614525,0.30920711694593195,0.690792883054068,6.5,236.5,-105,-115
401809812,DraftKings,PHI -7.5,235,-290,3.35,1.3448275862068966,0.29850746268656714,0.7435897435897436,0.28644876973925815,0.7135512302607419,7.5,222.5,-105,-115
401809813,DraftKings,CHI -2.5,120,-142,2.2,1.704225352112676,0.45454545454545453,0.5867768595041323,0.43650793650793646,0.5634920634920635,2.5,248.5,-110,-110
401809814,DraftKings,DET -3.5,-162,136,1.617283950617284,2.3600000000000003,0.6183206106870229,0.423728813559322,0.593369754159424,0.40663024584057605,-3.5,230.5,-110,-110
401809815,DraftKings,IND -6.5,-258,210,1.3875968992248062,3.1,0.7206703910614525,0.3225806451612903,0.690792883054068,0.30920711694593195,-6.5,240.5,-110,-110
401809816,DraftKings,NY -7.5,-278,225,1.3597122302158273,3.25,0.7354497354497355,0.3076923076923077,0.705033164260632,0.294966835739368,-7.5,232.5,-115,-105
401809817,DraftKings,OKC -14.5,-1050,675,1.0952380952380953,7.75,0.9130434782608695,0.12903225806451613,0.8761776581426649,0.1238223418573351,-14.5,223.5,-115,-105
401809818,DraftKings,DEN -7.5,-305,245,1.3278688524590163,3.45,0.7530864197530864,0.2898550724637681,0.7220792588780237,0.2779207411219763,-7.5,238.5,-105,-115
401809819,DraftKings,UTAH -2.5,-142,120,1.704225352112676,2.2,0.5867768595041323,0.45454545454545453,0.5634920634920635,0.4365079365079365,-2.5,242.5,-110,-110
401809820,DraftKings,LAL -10.5,-455,350,1.2197802197802199,4.5,0.8198198198198198,0.2222222222222222,0.7867435158501441,0.21325648414985587,-10.5,232.5,-102,-118
401809821,DraftKings,LAC -6.5,-265,215,1.3773584905660377,3.15,0.726027397260274,0.31746031746031744,0.6957699520733487,0.3042300479266513,-6.5,224.5,-108,-112
401809833,DraftKings,ORL -1.5,-118,-102,1.847457627118644,1.9803921568627452,0.5412844036697247,0.504950495049505,0.5173641257162701,0.4826358742837299,-1.5,234.5,-110,-110
401809834,DraftKings,NY -6.5,210,-258,3.1,1.3875968992248062,0.3225806451612903,0.7206703910614525,0.30920711694593195,0.690792883054068,6.5,226.5,-105,-115
401809835,DraftKings,OKC -15.5,-1100,700,1.0909090909090908,8.0,0.9166666666666666,0.125,0.8800000000000001,0.11999999999999988,-15.5,221.5,-108,-112
401809836,DraftKings,LAL -7.5,-285,230,1.3508771929824561,3.3,0.7402597402597403,0.30303030303030304,0.7095435684647302,0.2904564315352698,-7.5,243.5,-102,-118
