team,line,player,player_id,pos,GP,G_per_gp,A_per_gp,PTS_per_gp,SOG_per_gp,HIT_per_gp,BLK_per_gp,TOI_per_gp,ixG_per_gp,xGF_per_gp,xGA_per_gp,GF_onice_per_gp,GA_onice_per_gp,last10_G_per_gp,last10_PTS_per_gp,last10_SOG_per_gp,current_game_type,current_GP,current_G_per_gp,current_A_per_gp,current_PTS_per_gp,current_SOG_per_gp,current_HIT_per_gp,current_BLK_per_gp,current_TOI_per_gp,current_ixG_per_gp,current_xGF_per_gp,current_xGA_per_gp,current_GF_onice_per_gp,current_GA_onice_per_gp,current_last10_G_per_gp,current_last10_PTS_per_gp,current_last10_SOG_per_gp
CAR,F1,Sebastian Aho,8478427,C,79,0.342,0.671,1.013,2.468,0.0,0.0,19.612,0.184,0.724,0.557,0.696,0.633,0.3,0.9,2.9,3,8,0.375,0.125,0.5,1.75,0.0,0.0,21.985,0.124,0.44,0.565,0.125,0.125,0.375,0.5,1.75
CAR,F1,Seth Jarvis,8482093,C,71,0.451,0.479,0.93,3.155,0.0,0.0,18.88,0.217,0.639,0.529,0.592,0.606,0.4,1.0,3.2,3,8,0.125,0.375,0.5,2.25,0.0,0.0,21.206,0.082,0.521,0.595,0.25,0.125,0.125,0.5,2.25
CAR,F2,Taylor Hall,8475791,L,80,0.225,0.375,0.6,1.712,0.0,0.0,14.53,0.166,0.695,0.515,0.625,0.512,0.3,1.0,1.9,3,8,0.375,1.125,1.5,2.875,0.0,0.0,16.14,0.33,0.972,0.419,1.375,0.125,0.375,1.5,2.875
CAR,F2,Logan Stankoven,8482702,C,81,0.259,0.284,0.543,2.049,0.0,0.0,15.45,0.214,0.751,0.538,0.667,0.506,0.7,1.1,2.8,3,8,0.875,0.125,1.0,3.875,0.0,0.0,16.956,0.381,0.984,0.43,1.375,0.25,0.875,1.0,3.875
CAR,F2,Jackson Blake,8482809,R,81,0.272,0.383,0.654,2.148,0.0,0.0,16.499,0.245,0.758,0.54,0.605,0.506,0.2,0.9,2.0,3,8,0.5,0.875,1.375,2.25,0.0,0.0,18.106,0.256,0.992,0.516,1.125,0.125,0.5,1.375,2.25
CAR,F3,Nikolaj Ehlers,8477940,L,82,0.317,0.549,0.866,2.524,0.0,0.0,16.596,0.145,0.645,0.479,0.646,0.524,0.3,1.0,2.7,3,7,0.286,0.286,0.571,2.0,0.0,0.0,19.421,0.1,0.75,0.5,0.429,0.286,0.286,0.571,2.0
CAR,F3,Jordan Staal,8473533,C,75,0.267,0.213,0.48,1.427,0.0,0.0,16.188,0.175,0.591,0.498,0.52,0.547,0.4,0.7,1.7,3,8,0.125,0.375,0.5,1.75,0.0,0.0,18.925,0.256,0.715,0.645,0.5,0.25,0.125,0.5,1.75
CAR,F3,Jordan Martinook,8476921,L,77,0.156,0.221,0.377,1.416,0.0,0.0,14.836,0.152,0.58,0.471,0.571,0.558,0.2,0.6,1.2,3,8,0.125,0.25,0.375,2.25,0.0,0.0,16.704,0.188,0.646,0.6,0.25,0.375,0.125,0.375,2.25
CAR,F4,William Carrier,8477478,L,70,0.1,0.157,0.257,1.143,0.0,0.0,10.754,0.141,0.485,0.348,0.5,0.414,0.1,0.4,0.9,3,8,0.0,0.0,0.0,0.75,0.0,0.0,10.34,0.059,0.365,0.395,0.0,0.125,0.0,0.0,0.75
CAR,F4,Mark Jankowski,8476873,L,68,0.162,0.147,0.309,0.926,0.0,0.0,11.151,0.153,0.478,0.317,0.368,0.25,0.3,0.4,0.9,3,8,0.0,0.125,0.125,0.625,0.0,0.0,12.09,0.125,0.411,0.332,0.125,0.125,0.0,0.125,0.625
CAR,F4,Eric Robinson,8480762,L,67,0.179,0.09,0.269,1.254,0.0,0.0,11.428,0.15,0.514,0.383,0.418,0.328,0.0,0.0,0.9,3,8,0.0,0.25,0.25,1.625,0.0,0.0,9.944,0.191,0.388,0.266,0.25,0.125,0.0,0.25,1.625
CAR,D1,Jaccob Slavin,8476958,D,39,0.026,0.179,0.205,1.615,0.0,0.0,21.31,0.048,0.79,0.633,0.667,0.641,0.1,0.4,1.8,3,8,0.0,0.125,0.125,1.875,0.0,0.0,24.175,0.035,0.801,0.668,0.125,0.25,0.0,0.125,1.875
CAR,D1,Jalen Chatfield,8478970,D,72,0.028,0.208,0.236,1.389,0.0,0.0,20.139,0.056,0.775,0.725,0.819,0.722,0.1,0.2,1.4,3,8,0.125,0.125,0.25,1.875,0.0,0.0,22.91,0.054,0.926,0.701,0.375,0.375,0.125,0.25,1.875
CAR,D2,K'Andre Miller,8480817,D,72,0.111,0.403,0.514,1.708,0.0,0.0,22.393,0.071,0.929,0.69,0.833,0.861,0.2,0.5,2.1,3,8,0.0,0.75,0.75,0.875,0.0,0.0,23.74,0.036,0.972,0.709,1.25,0.125,0.0,0.75,0.875
CAR,D2,Sean Walker,8480336,D,81,0.111,0.272,0.383,2.21,0.0,0.0,21.812,0.085,0.914,0.669,0.79,0.802,0.2,0.8,2.4,3,8,0.0,0.25,0.25,1.75,0.0,0.0,22.315,0.086,1.012,0.689,1.0,0.25,0.0,0.25,1.75
CAR,D3,Shayne Gostisbehere,8476906,D,55,0.236,0.673,0.909,2.109,0.0,0.0,19.232,0.072,0.795,0.598,0.855,0.636,0.2,0.7,1.8,3,8,0.0,0.25,0.25,1.875,0.0,0.0,19.263,0.022,0.659,0.595,0.75,0.25,0.0,0.25,1.875
CAR,D3,Alexander Nikishin,8482100,D,81,0.136,0.272,0.407,1.506,0.0,0.0,18.184,0.063,0.788,0.623,0.704,0.531,0.1,0.4,0.8,3,6,0.0,0.0,0.0,0.333,0.0,0.0,15.85,0.032,0.755,0.55,0.333,0.167,0.0,0.0,0.333
