team,team_GP,team_W,team_L,team_OT,team_points,team_point_pct,team_GF_per_gp,team_GA_per_gp,team_SF_per_gp,team_SA_per_gp,team_PP_pct,team_PK_pct,team_PP_net_pct,team_PK_net_pct,team_FO_pct
MTL,14.0,8.0,6.0,0.0,16.0,57.142,3.071,2.714,25.143,28.714,25.0,74.074,25.0,75.926,54.104
CAR,8.0,8.0,0.0,0.0,16.0,100.0,3.0,1.25,33.875,25.125,13.514,95.0,13.514,97.5,46.602
