game_id,play_id,period,period_type,time_in_period,time_remaining,event_type,team,x_coord,y_coord,shot_type,zone,details
2025020155,365,1,REG,07:40,12:20,giveaway,CAR,42.0,8.0,,D,"{""eventOwnerTeamId"": 12, ""playerId"": 8482100, ""xCoord"": 42, ""yCoord"": 8, ""zoneCode"": ""D""}"
2025020155,359,1,REG,07:46,12:14,hit,CAR,-87.0,35.0,,O,"{""eventOwnerTeamId"": 12, ""hitteePlayerId"": 8477018, ""hittingPlayerId"": 8476921, ""xCoord"": -87, ""yCoord"": 35, ""zoneCode"": ""O""}"
2025020155,388,1,REG,08:21,11:39,giveaway,VGK,-68.0,-41.0,,D,"{""eventOwnerTeamId"": 54, ""playerId"": 8477018, ""xCoord"": -68, ""yCoord"": -41, ""zoneCode"": ""D""}"
2025020155,395,1,REG,08:25,11:35,giveaway,CAR,-21.0,40.0,,N,"{""eventOwnerTeamId"": 12, ""playerId"": 8480829, ""xCoord"": -21, ""yCoord"": 40, ""zoneCode"": ""N""}"
2025020155,363,1,REG,08:51,11:09,hit,VGK,93.0,-25.0,,O,"{""eventOwnerTeamId"": 54, ""hitteePlayerId"": 8478970, ""hittingPlayerId"": 8478434, ""xCoord"": 93, ""yCoord"": -25, ""zoneCode"": ""O""}"
2025020155,410,1,REG,08:52,11:08,giveaway,CAR,97.0,-24.0,,D,"{""eventOwnerTeamId"": 12, ""playerId"": 8478970, ""xCoord"": 97, ""yCoord"": -24, ""zoneCode"": ""D""}"
2025020155,364,1,REG,09:04,10:56,hit,VGK,35.0,39.0,,O,"{""eventOwnerTeamId"": 54, ""hitteePlayerId"": 8480829, ""hittingPlayerId"": 8481133, ""xCoord"": 35, ""yCoord"": 39, ""zoneCode"": ""O""}"
2025020155,292,1,REG,09:20,10:40,shot-on-goal,VGK,55.0,33.0,snap,O,"{""awaySOG"": 1, ""eventOwnerTeamId"": 54, ""goalieInNetId"": 8475883, ""homeSOG"": 6, ""shootingPlayerId"": 8481604, ""shotType"": ""snap"", ""xCoord"": 55, ""yCoord"": 33, ""zoneCode"": ""O""}"
2025020155,294,1,REG,09:24,10:36,shot-on-goal,VGK,72.0,7.0,snap,O,"{""awaySOG"": 2, ""eventOwnerTeamId"": 54, ""goalieInNetId"": 8475883, ""homeSOG"": 6, ""shootingPlayerId"": 8476881, ""shotType"": ""snap"", ""xCoord"": 72, ""yCoord"": 7, ""zoneCode"": ""O""}"
2025020155,295,1,REG,09:33,10:27,blocked-shot,CAR,-83.0,13.0,,D,"{""blockingPlayerId"": 8478468, ""eventOwnerTeamId"": 12, ""reason"": ""blocked"", ""shootingPlayerId"": 8477940, ""xCoord"": -83, ""yCoord"": 13, ""zoneCode"": ""D""}"
2025020155,66,1,REG,10:35,09:25,stoppage,,,,,,"{""reason"": ""offside"", ""secondaryReason"": ""tv-timeout""}"
2025020155,356,1,REG,10:35,09:25,faceoff,VGK,20.0,-22.0,,N,"{""eventOwnerTeamId"": 54, ""losingPlayerId"": 8482702, ""winningPlayerId"": 8476438, ""xCoord"": 20, ""yCoord"": -22, ""zoneCode"": ""N""}"
2025020155,369,1,REG,11:17,08:43,missed-shot,VGK,35.0,-19.0,slap,O,"{""eventOwnerTeamId"": 54, ""goalieInNetId"": 8475883, ""reason"": ""wide-right"", ""shootingPlayerId"": 8478468, ""shotType"": ""slap"", ""xCoord"": 35, ""yCoord"": -19, ""zoneCode"": ""O""}"
2025020155,67,1,REG,11:25,08:35,stoppage,,,,,,"{""reason"": ""puck-in-crowd""}"
2025020155,372,1,REG,11:25,08:35,faceoff,VGK,-20.0,-22.0,,N,"{""eventOwnerTeamId"": 54, ""losingPlayerId"": 8480829, ""winningPlayerId"": 8478434, ""xCoord"": -20, ""yCoord"": -22, ""zoneCode"": ""N""}"
2025020155,412,1,REG,11:38,08:22,hit,VGK,96.0,13.0,,O,"{""eventOwnerTeamId"": 54, ""hitteePlayerId"": 8482911, ""hittingPlayerId"": 8478434, ""xCoord"": 96, ""yCoord"": 13, ""zoneCode"": ""O""}"
2025020155,416,1,REG,11:46,08:14,hit,VGK,0.0,-39.0,,N,"{""eventOwnerTeamId"": 54, ""hitteePlayerId"": 8481562, ""hittingPlayerId"": 8479353, ""xCoord"": 0, ""yCoord"": -39, ""zoneCode"": ""N""}"
2025020155,436,1,REG,11:55,08:05,giveaway,VGK,84.0,-35.0,,O,"{""eventOwnerTeamId"": 54, ""playerId"": 8481133, ""xCoord"": 84, ""yCoord"": -35, ""zoneCode"": ""O""}"
2025020155,418,1,REG,12:07,07:53,hit,CAR,-36.0,-34.0,,O,"{""eventOwnerTeamId"": 12, ""hitteePlayerId"": 8478434, ""hittingPlayerId"": 8482100, ""xCoord"": -36, ""yCoord"": -34, ""zoneCode"": ""O""}"
2025020155,422,1,REG,12:37,07:23,hit,VGK,-89.0,33.0,,D,"{""eventOwnerTeamId"": 54, ""hitteePlayerId"": 8482093, ""hittingPlayerId"": 8475188, ""xCoord"": -89, ""yCoord"": 33, ""zoneCode"": ""D""}"
2025020155,68,1,REG,13:42,06:18,delayed-penalty,CAR,,,,,"{""eventOwnerTeamId"": 12}"
2025020155,438,1,REG,13:55,06:05,hit,CAR,-92.0,-32.0,,O,"{""eventOwnerTeamId"": 12, ""hitteePlayerId"": 8482125, ""hittingPlayerId"": 8480830, ""xCoord"": -92, ""yCoord"": -32, ""zoneCode"": ""O""}"
2025020155,407,1,REG,13:57,06:03,penalty,CAR,-8.0,23.0,,N,"{""committedByPlayerId"": 8480830, ""descKey"": ""slashing"", ""drawnByPlayerId"": 8481527, ""duration"": 2, ""eventOwnerTeamId"": 12, ""typeCode"": ""MIN"", ""xCoord"": -8, ""yCoord"": 23, ""zoneCode"": ""N""}"
2025020155,403,1,REG,13:57,06:03,faceoff,VGK,69.0,22.0,,O,"{""eventOwnerTeamId"": 54, ""losingPlayerId"": 8473533, ""winningPlayerId"": 8476881, ""xCoord"": 69, ""yCoord"": 22, ""zoneCode"": ""O""}"
