source_report,game_type,assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
nhl_skater_summary,2,1,1,2,,0,12,1,Legault,0,15,8484428,5,2,0.16666,D,0,0,20252026,0,0,0.08333,R,12,Charles Alexis Legault,CAR,857.6666
nhl_skater_summary,2,27,17,34,0.0,4,82,37,Dorofeyev,0,24,8481604,-3,64,0.78048,R,20,30,20252026,0,0,0.16086,L,230,Pavel Dorofeyev,VGK,1056.2682
nhl_skater_summary,2,0,0,0,0.5,0,2,0,Slavin,0,2,8481004,1,0,0.0,L,0,0,20252026,0,0,,L,0,Josiah Slavin,CAR,901.0
nhl_skater_summary,2,7,2,9,0.48518,0,42,2,Kotkaniemi,0,8,8480829,3,9,0.21428,C,0,0,20252026,0,0,0.04761,L,42,Jesperi Kotkaniemi,CAR,681.0476
nhl_skater_summary,2,25,3,21,,0,71,3,Hanifin,0,14,8478396,0,28,0.39436,D,0,7,20252026,0,0,0.02222,L,135,Noah Hanifin,VGK,1356.0704
nhl_skater_summary,2,22,6,22,,1,81,11,Nikishin,1,33,8482100,18,33,0.4074,D,4,10,20252026,1,1,0.09016,L,122,Alexander Nikishin,CAR,1091.0617
nhl_skater_summary,2,38,21,55,0.24074,3,82,23,Barbashev,0,14,8477964,20,61,0.7439,L,2,6,20252026,0,0,0.17293,L,133,Ivan Barbashev,VGK,974.5121
nhl_skater_summary,2,2,0,2,1.0,0,31,0,Deslauriers,0,38,8475235,-3,2,0.06451,L,0,0,20252026,0,0,0.0,L,18,Nicolas Deslauriers,"PHI,CAR",512.8387
nhl_skater_summary,2,15,2,17,,1,72,2,Chatfield,0,18,8478970,15,17,0.23611,D,0,0,20252026,0,0,0.02,R,100,Jalen Chatfield,CAR,1208.3472
nhl_skater_summary,2,12,1,13,,0,68,1,Lauzon,0,89,8478468,-3,13,0.19117,D,0,0,20252026,0,0,0.01369,L,73,Jeremy Lauzon,VGK,1030.8529
nhl_skater_summary,2,6,9,15,0.63636,2,59,9,Reinhardt,0,21,8481133,-2,15,0.25423,L,0,0,20252026,0,0,0.18367,L,49,Cole Reinhardt,"VGK,FLA",638.9491
nhl_skater_summary,2,29,6,31,0.0,1,72,8,Miller,0,56,8480817,7,37,0.51388,D,1,3,20252026,1,3,0.06504,L,123,K'Andre Miller,CAR,1343.5694
