event_id,type,title,description,summary,series_score,total_competitions,completed
401859964,season,Regular Season Series,NBA Finals,Series tied 1-1,1-1,2,True
401859964,playoff,Playoff Series,NBA Finals,NY leads series 1-0,1-0,7,False
