game_date,home_team,away_team,home_odds,away_odds,home_score,away_score,home_win,source_query,source,market_home_raw_prob,market_away_raw_prob,market_home_no_vig_prob,home_decimal_odds,away_decimal_odds,home_games_played,home_win_pct,home_last5_win_pct,home_gf_per_game,home_ga_per_game,home_goal_diff_per_game,home_last5_gf_per_game,home_last5_ga_per_game,home_rest_days,away_games_played,away_win_pct,away_last5_win_pct,away_gf_per_game,away_ga_per_game,away_goal_diff_per_game,away_last5_gf_per_game,away_last5_ga_per_game,away_rest_days,home_is_favorite,home_form_edge,home_goal_diff_edge,home_rest_edge,home_market_edge_feature
2025-10-07,FLA,CHI,-285,230,3,2,1,Chicago Blackhawks highest moneyline this season,statmuse,0.7402597402597403,0.30303030303030304,0.7095435684647302,1.3508771929824561,3.3,7.0,0.42857142857142855,0.6,3.142857142857143,3.2857142857142856,-0.14285714285714285,3.8,2.6,3.0,6.0,0.3333333333333333,0.4,2.1666666666666665,2.6666666666666665,-0.5,2.2,2.6,3.0,1,0.19999999999999996,0.35714285714285715,0.0,0.2095435684647302
2025-10-07,LAK,COL,-102,-118,1,4,0,Colorado Avalanche highest moneyline this season,statmuse,0.504950495049505,0.5412844036697247,0.4826358742837298,1.9803921568627452,1.847457627118644,7.0,0.7142857142857143,0.6,3.0,2.142857142857143,0.8571428571428571,3.0,2.6,3.0,6.0,0.6666666666666666,0.6,3.1666666666666665,1.8333333333333333,1.3333333333333333,2.8,2.0,3.0,0,0.0,-0.47619047619047616,0.0,-0.017364125716270218
2025-10-07,NYR,PIT,-235,193,0,3,0,New York Rangers lowest moneyline this season,statmuse,0.7014925373134329,0.3412969283276451,0.6727077328904304,1.425531914893617,2.9299999999999997,6.0,0.3333333333333333,0.2,3.0,3.6666666666666665,-0.6666666666666666,2.6,3.8,3.0,7.0,0.7142857142857143,1.0,3.0,2.4285714285714284,0.5714285714285714,3.8,2.2,4.0,1,-0.8,-1.2380952380952381,-1.0,0.1727077328904304
2025-10-08,EDM,CGY,-231,190,3,4,0,Calgary Flames highest moneyline this season,statmuse,0.6978851963746223,0.3448275862068966,0.669297632131082,1.432900432900433,2.9,8.0,0.5,0.4,2.625,2.375,0.25,2.6,2.8,5.0,8.0,0.375,0.2,2.125,3.375,-1.25,2.0,4.2,5.0,1,0.2,1.5,0.0,0.16929763213108195
2025-10-08,TOR,MTL,-169,142,5,2,1,Montreal Canadiens highest moneyline this season,statmuse,0.6282527881040892,0.4132231404958678,0.6032331337207587,1.5917159763313609,2.42,6.0,0.3333333333333333,0.2,3.5,3.5,0.0,3.4,3.6,4.0,6.0,0.6666666666666666,0.6,3.0,2.5,0.5,3.2,2.8,4.0,1,-0.39999999999999997,-0.5,0.0,0.10323313372075871
2025-10-08,VGK,LAK,-207,171,5,6,0,Los Angeles Kings highest moneyline this season,statmuse,0.6742671009771987,0.36900369003690037,0.6463011394403032,1.4830917874396135,2.71,7.0,0.42857142857142855,0.6,1.5714285714285714,2.5714285714285716,-1.0,2.0,2.4,5.0,8.0,0.625,0.4,2.75,2.375,0.375,2.6,3.4,1.0,1,0.19999999999999996,-1.375,4.0,0.1463011394403032
2025-10-08,WSH,BOS,-187,156,1,3,0,Boston Bruins highest moneyline this season,statmuse,0.6515679442508711,0.390625,0.6251893642584757,1.53475935828877,2.56,6.0,0.8333333333333334,0.8,3.3333333333333335,2.0,1.3333333333333333,3.0,2.0,4.0,6.0,0.6666666666666666,0.8,3.3333333333333335,2.8333333333333335,0.5,3.6,2.4,4.0,1,0.0,0.8333333333333333,0.0,0.1251893642584757
2025-10-09,BOS,CHI,-164,138,4,3,1,Boston Bruins lowest moneyline this season,statmuse,0.6212121212121212,0.42016806722689076,0.5965276928719893,1.6097560975609757,2.38,7.0,0.7142857142857143,0.8,3.2857142857142856,2.5714285714285716,0.7142857142857143,3.2,1.8,1.0,7.0,0.2857142857142857,0.2,2.142857142857143,2.7142857142857144,-0.5714285714285714,1.8,2.8,2.0,1,0.6000000000000001,1.2857142857142856,-1.0,0.09652769287198926
2025-10-09,CAR,NJD,-176,147,6,3,1,New Jersey Devils highest moneyline this season,statmuse,0.6376811594202898,0.4048582995951417,0.6116614137775777,1.5681818181818183,2.4699999999999998,6.0,0.16666666666666666,0.2,2.8333333333333335,3.5,-0.6666666666666666,3.2,3.8,5.0,7.0,0.42857142857142855,0.4,3.0,2.7142857142857144,0.2857142857142857,2.4,2.4,5.0,1,-0.2,-0.9523809523809523,0.0,0.11166141377757766
2025-10-09,COL,UTA,-193,160,2,1,1,Utah Mammoth highest moneyline this season,statmuse,0.658703071672355,0.38461538461538464,0.6313537996980373,1.5181347150259068,2.6,7.0,0.7142857142857143,0.6,3.2857142857142856,1.7142857142857142,1.5714285714285714,3.0,1.8,2.0,7.0,0.2857142857142857,0.4,2.2857142857142856,3.5714285714285716,-1.2857142857142858,2.6,3.4,5.0,1,0.19999999999999996,2.857142857142857,-3.0,0.1313537996980373
