game_date,home_team,away_team,home_odds,away_odds,home_score,away_score,home_win,season,source_query,source,market_home_raw_prob,market_away_raw_prob,market_home_no_vig_prob,home_decimal_odds,away_decimal_odds
2022-10-17,DAL,WPG,-144,122,4,1,1,20222023,Winnipeg Jets highest moneyline 2022-23,statmuse,0.5901639344262295,0.45045045045045046,0.5671302866874822,1.6944444444444444,2.2199999999999998
2022-10-17,MIN,COL,103,-124,3,6,0,20222023,Minnesota Wild highest moneyline 2022-23,statmuse,0.49261083743842365,0.5535714285714286,0.47086521483225424,2.0300000000000002,1.8064516129032258
2022-10-17,MTL,PIT,208,-255,3,2,1,20222023,Pittsburgh Penguins lowest moneyline 2022-23,statmuse,0.3246753246753247,0.7183098591549296,0.3112942827078218,3.08,1.392156862745098
2022-10-17,NYR,ANA,-249,202,6,4,1,20222023,New York Rangers lowest moneyline 2022-23,statmuse,0.7134670487106017,0.33112582781456956,0.6830096822830569,1.4016064257028114,3.02
2022-10-17,SEA,CAR,146,-175,1,5,0,20222023,Seattle Kraken highest moneyline 2022-23,statmuse,0.4065040650406504,0.6363636363636364,0.3897944720056697,2.46,1.5714285714285714
2022-10-17,TOR,ARI,-533,391,2,4,0,20222023,Arizona Coyotes highest moneyline 2022-23,statmuse,0.8420221169036335,0.20366598778004075,0.805232567083996,1.1876172607879925,4.91
2022-10-18,CBJ,VAN,-104,-116,4,3,1,20222023,Columbus Blue Jackets lowest moneyline 2022-23,statmuse,0.5098039215686274,0.5370370370370371,0.48699271592091564,1.9615384615384617,1.8620689655172413
2022-10-18,CGY,VGK,-159,134,3,2,1,20222023,Vegas Golden Knights highest moneyline 2022-23,statmuse,0.6138996138996139,0.42735042735042733,0.5895794377713689,1.6289308176100628,2.34
2022-10-18,EDM,BUF,-232,190,2,4,0,20222023,Buffalo Sabres highest moneyline 2022-23,statmuse,0.6987951807228916,0.3448275862068966,0.6695859872611465,1.4310344827586206,2.9
2022-10-18,NJD,ANA,-196,161,4,2,1,20222023,New Jersey Devils lowest moneyline 2022-23,statmuse,0.6621621621621622,0.3831417624521073,0.6334637673980881,1.510204081632653,2.6100000000000003
2022-10-18,NSH,LAK,-178,149,3,4,0,20222023,Los Angeles Kings highest moneyline 2022-23,statmuse,0.6402877697841727,0.40160642570281124,0.6145420260114804,1.5617977528089888,2.49
