market_blend_weight,ending_bankroll,profit,bets_placed,win_rate,roi_on_staked,max_drawdown
0.0,429.1830845656784,-570.8169154343219,81,0.49382716049382713,-0.09876973066611779,0.7206411406787187
0.25,489.2612700036772,-510.73872999632306,78,0.47435897435897434,-0.10653245642444409,0.6304525546806803
0.5,600.3992215639262,-399.6007784360739,67,0.4626865671641791,-0.11368394557117192,0.49297393610303264
0.65,738.2327935142054,-261.76720648579493,58,0.4827586206896552,-0.115317073403371,0.3278251058601885
0.75,862.7191453523468,-137.28085464765283,40,0.425,-0.12449676901138783,0.18469568491243388
0.85,976.9525834260393,-23.047416573960927,21,0.5714285714285714,-0.12386669964229438,0.04688991535189976
0.9,992.2146315919749,-7.785368408025058,1,0.0,-1.0,0.007785368408025079
0.95,1000.0,0.0,0,0.0,0.0,0.0
