game_date,home_team,away_team,home_odds,away_odds,home_score,away_score,home_win,source_query,source,market_home_raw_prob,market_away_raw_prob,market_home_no_vig_prob,home_decimal_odds,away_decimal_odds
2025-10-07,FLA,CHI,-285,230,3,2,1,Chicago Blackhawks highest moneyline this season,statmuse,0.7402597402597403,0.30303030303030304,0.7095435684647302,1.3508771929824561,3.3
2025-10-07,LAK,COL,-102,-118,1,4,0,Colorado Avalanche highest moneyline this season,statmuse,0.504950495049505,0.5412844036697247,0.4826358742837298,1.9803921568627452,1.847457627118644
2025-10-07,NYR,PIT,-235,193,0,3,0,New York Rangers lowest moneyline this season,statmuse,0.7014925373134329,0.3412969283276451,0.6727077328904304,1.425531914893617,2.9299999999999997
2025-10-08,EDM,CGY,-231,190,3,4,0,Calgary Flames highest moneyline this season,statmuse,0.6978851963746223,0.3448275862068966,0.669297632131082,1.432900432900433,2.9
2025-10-08,TOR,MTL,-169,142,5,2,1,Montreal Canadiens highest moneyline this season,statmuse,0.6282527881040892,0.4132231404958678,0.6032331337207587,1.5917159763313609,2.42
2025-10-08,VGK,LAK,-207,171,5,6,0,Los Angeles Kings highest moneyline this season,statmuse,0.6742671009771987,0.36900369003690037,0.6463011394403032,1.4830917874396135,2.71
2025-10-08,WSH,BOS,-187,156,1,3,0,Boston Bruins highest moneyline this season,statmuse,0.6515679442508711,0.390625,0.6251893642584757,1.53475935828877,2.56
2025-10-09,BOS,CHI,-164,138,4,3,1,Boston Bruins lowest moneyline this season,statmuse,0.6212121212121212,0.42016806722689076,0.5965276928719893,1.6097560975609757,2.38
2025-10-09,CAR,NJD,-176,147,6,3,1,New Jersey Devils highest moneyline this season,statmuse,0.6376811594202898,0.4048582995951417,0.6116614137775777,1.5681818181818183,2.4699999999999998
2025-10-09,COL,UTA,-193,160,2,1,1,Utah Mammoth highest moneyline this season,statmuse,0.658703071672355,0.38461538461538464,0.6313537996980373,1.5181347150259068,2.6
2025-10-09,DET,MTL,-142,119,1,5,0,Detroit Red Wings lowest moneyline this season,statmuse,0.5867768595041323,0.45662100456621,0.5623711526637492,1.704225352112676,2.19
2025-10-09,FLA,PHI,-223,183,2,1,1,Florida Panthers lowest moneyline this season,statmuse,0.6904024767801857,0.35335689045936397,0.6614575144902473,1.4484304932735426,2.83
2025-10-09,NSH,CBJ,-117,-103,2,1,1,Nashville Predators lowest moneyline this season,statmuse,0.5391705069124424,0.5073891625615764,0.5151837230488916,1.8547008547008548,1.970873786407767
2025-10-09,PIT,NYI,110,-131,4,3,1,New York Islanders lowest moneyline this season,statmuse,0.47619047619047616,0.5670995670995671,0.4564315352697095,2.1,1.7633587786259541
